Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Data_Object_Change,Src_Port_Changed,Dst_Port_Changed,Attack
10611,2,13.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
10612,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10613,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10614,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
10615,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10616,6,34.33,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
10617,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
10618,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10619,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
10620,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10621,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10622,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
10623,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10624,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10625,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
10626,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10627,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
10628,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10629,6,34.33,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
10630,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
10631,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10632,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10633,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
10634,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10635,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10636,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
10637,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10638,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10639,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
10640,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10641,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
10642,6,34.33,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
10643,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10644,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
10645,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10646,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10647,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
10648,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10649,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
10650,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10651,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10652,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
10653,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10654,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10655,8,29.12,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0
10656,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10657,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10658,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
10659,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10660,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
10661,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0
