Window_Num,Num_Packets,Avg_Length,Num_Streams,Flag_Ack,Flag_Retransmission,Flag_Reset,Flag_Syn,Flag_Fin,Src_Port_Changed,Dst_Port_Changed,Attack
10611,3,66,1,1,0,0,0,0,0,0,0
10612,2,66,1,1,0,0,0,0,0,0,0
10613,2,66,1,1,0,0,0,0,0,0,0
10614,3,66,1,1,0,0,0,0,0,0,0
10615,2,66,1,1,0,0,0,0,0,0,0
10616,3,66,1,1,0,0,0,0,0,0,0
10617,3,66,1,1,0,0,0,0,0,0,0
10618,2,66,1,1,0,0,0,0,0,0,0
10619,3,66,1,1,0,0,0,0,0,0,0
10620,2,66,1,1,0,0,0,0,0,0,0
10621,2,66,1,1,0,0,0,0,0,0,0
10622,3,66,1,1,0,0,0,0,0,0,0
10623,2,66,1,1,0,0,0,0,0,0,0
10624,2,66,1,1,0,0,0,0,0,0,0
10625,3,66,1,1,0,0,0,0,0,0,0
10626,2,66,1,1,0,0,0,0,0,0,0
10627,3,66,1,1,0,0,0,0,0,0,0
10628,2,66,1,1,0,0,0,0,0,0,0
10629,3,66,1,1,0,0,0,0,0,0,0
10630,3,66,1,1,0,0,0,0,0,0,0
10631,2,66,1,1,0,0,0,0,0,0,0
10632,2,66,1,1,0,0,0,0,0,0,0
10633,3,66,1,1,0,0,0,0,0,0,0
10634,2,66,1,1,0,0,0,0,0,0,0
10635,2,66,1,1,0,0,0,0,0,0,0
10636,3,66,1,1,0,0,0,0,0,0,0
10637,2,66,1,1,0,0,0,0,0,0,0
10638,2,66,1,1,0,0,0,0,0,0,0
10639,3,66,1,1,0,0,0,0,0,0,0
10640,2,66,1,1,0,0,0,0,0,0,0
10641,3,66,1,1,0,0,0,0,0,0,0
10642,3,66,1,1,0,0,0,0,0,0,0
10643,2,66,1,1,0,0,0,0,0,0,0
10644,3,66,1,1,0,0,0,0,0,0,0
10645,2,66,1,1,0,0,0,0,0,0,0
10646,2,66,1,1,0,0,0,0,0,0,0
10647,3,66,1,1,0,0,0,0,0,0,0
10648,2,66,1,1,0,0,0,0,0,0,0
10649,3,66,1,1,0,0,0,0,0,0,0
10650,2,66,1,1,0,0,0,0,0,0,0
10651,2,66,1,1,0,0,0,0,0,0,0
10652,3,66,1,1,0,0,0,0,0,0,0
10653,2,66,1,1,0,0,0,0,0,0,0
10654,2,66,1,1,0,0,0,0,0,0,0
10655,4,66,1,1,0,0,0,0,0,0,0
10656,2,66,1,1,0,0,0,0,0,0,0
10657,2,66,1,1,0,0,0,0,0,0,0
10658,3,66,1,1,0,0,0,0,0,0,0
10659,2,66,1,1,0,0,0,0,0,0,0
10660,2,66,1,1,0,0,0,0,0,0,0
10661,3,66,1,1,0,0,0,0,0,0,0
10662,2,66,1,1,0,0,0,0,0,0,0
10663,2,66,1,1,0,0,0,0,0,0,0
10664,3,66,1,1,0,0,0,0,0,0,0
10665,2,66,1,1,0,0,0,0,0,0,0
10666,3,66,1,1,0,0,0,0,0,0,0
10667,2,66,1,1,0,0,0,0,0,0,0
10668,3,66,1,1,0,0,0,0,0,0,0
10669,3,66,1,1,0,0,0,0,0,0,0
10670,2,66,1,1,0,0,0,0,0,0,0
10671,2,66,1,1,0,0,0,0,0,0,0
10672,3,66,1,1,0,0,0,0,0,0,0
10673,2,66,1,1,0,0,0,0,0,0,0
10674,2,66,1,1,0,0,0,0,0,0,0
10675,3,66,1,1,0,0,0,0,0,0,0
10676,2,66,1,1,0,0,0,0,0,0,0
10677,2,66,1,1,0,0,0,0,0,0,0
10678,3,66,1,1,0,0,0,0,0,0,0
10679,2,66,1,1,0,0,0,0,0,0,0
10680,3,66,1,1,0,0,0,0,0,0,0
10681,3,66,1,1,0,0,0,0,0,0,0
10682,2,66,1,1,0,0,0,0,0,0,0
10683,3,66,1,1,0,0,0,0,0,0,0
10684,2,66,1,1,0,0,0,0,0,0,0
10685,2,66,1,1,0,0,0,0,0,0,0
10686,3,66,1,1,0,0,0,0,0,0,0
10687,2,66,1,1,0,0,0,0,0,0,0
10688,2,66,1,1,0,0,0,0,0,0,0
10689,3,66,1,1,0,0,0,0,0,0,0
