Window_Num,Num_Packets,Avg_Length,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change,Attack
10611,1,133,0,0,0,0,0
10612,2,133,0,0,0,0,0
10613,3,133,0,0,0,0,0
10614,2,133,0,0,0,0,0
10615,3,133,0,0,0,0,0
10616,2,133,0,0,0,0,0
10617,3,133,0,0,0,0,0
10618,2,133,0,0,0,0,0
10619,3,133,0,0,0,0,0
10620,2,133,0,0,0,0,0
10621,3,133,0,0,0,0,0
10622,2,133,0,0,0,0,0
10623,3,133,0,0,0,0,0
10624,2,133,0,0,0,0,0
10625,3,133,0,0,0,0,0
10626,2,133,0,0,0,0,0
10627,3,133,0,0,0,0,0
10628,2,133,0,0,0,0,0
10629,3,133,0,0,0,0,0
10630,2,133,0,0,0,0,0
10631,3,133,0,0,0,0,0
10632,2,133,0,0,0,0,0
10633,3,133,0,0,0,0,0
10634,2,133,0,0,0,0,0
10635,3,133,0,0,0,0,0
10636,2,133,0,0,0,0,0
10637,3,133,0,0,0,0,0
10638,2,133,0,0,0,0,0
10639,3,133,0,0,0,0,0
10640,2,133,0,0,0,0,0
10641,3,133,0,0,0,0,0
10642,2,133,0,0,0,0,0
10643,3,133,0,0,0,0,0
10644,2,133,0,0,0,0,0
10645,3,133,0,0,0,0,0
10646,2,133,0,0,0,0,0
10647,3,133.67,0,0,0,0,0
10648,2,134,0,0,0,0,0
10649,3,134,0,0,0,0,0
10650,2,134,0,0,0,0,0
10651,3,134,0,0,0,0,0
10652,2,134,0,0,0,0,0
10653,3,134,0,0,0,0,0
10654,2,134,0,0,0,0,0
10655,3,134,0,0,0,0,0
10656,2,134,0,0,0,0,0
10657,3,134,0,0,0,0,0
10658,2,134,0,0,0,0,0
10659,3,134,0,0,0,0,0
10660,2,134,0,0,0,0,0
10661,3,134,0,0,0,0,0
10662,2,134,0,0,0,0,0
10663,3,134,0,0,0,0,0
10664,2,134,0,0,0,0,0
10665,3,134,0,0,0,0,0
10666,2,134,0,0,0,0,0
10667,3,134,0,0,0,0,0
10668,2,134,0,0,0,0,0
10669,3,134,0,0,0,0,0
10670,2,134,0,0,0,0,0
10671,3,134,0,0,0,0,0
10672,2,134,0,0,0,0,0
10673,3,134,0,0,0,0,0
10674,2,134,0,0,0,0,0
10675,3,134,0,0,0,0,0
10676,2,134,0,0,0,0,0
10677,3,134,0,0,0,0,0
10678,2,134,0,0,0,0,0
10679,3,134,0,0,0,0,0
10680,2,134,0,0,0,0,0
10681,3,134,0,0,0,0,0
10682,2,134,0,0,0,0,0
10683,3,134,0,0,0,0,0
10684,2,134,0,0,0,0,0
10685,3,134,0,0,0,0,0
10686,2,134,0,0,0,0,0
10687,3,134,0,0,0,0,0
10688,1,134,0,0,0,0,0
10689,3,134,0,1,0,0,0
10690,2,134,0,0,0,0,0
10691,3,134,0,0,0,0,0
10692,2,134,0,0,0,0,0
10693,3,134,0,0,0,0,0
10694,2,134,0,0,0,0,0
10695,3,134,0,0,0,0,0
10696,2,134,0,0,0,0,0
10697,3,134,0,0,0,0,0
10698,2,134,0,0,0,0,0
10699,3,134,0,0,0,0,0
10700,2,134,0,0,0,0,0
10701,3,134,0,0,0,0,0
10702,2,134,0,0,0,0,0
10703,3,134,0,0,0,0,0
10704,2,134,0,0,0,0,0
10705,3,134,0,0,0,0,0
10706,2,134,0,0,0,0,0
10707,3,134,0,0,0,0,0
10708,2,134,0,0,0,0,0
10709,3,134,0,0,0,0,0
10710,2,134,0,0,0,0,0
10711,3,134,0,0,0,0,0
10712,1,134,0,0,0,0,0
10713,3,134,0,1,0,0,0
10714,2,134,0,0,0,0,0
10715,3,134,0,0,0,0,0
10716,2,134,0,0,0,0,0
10717,3,134,0,0,0,0,0
10718,2,134,0,0,0,0,0
10719,3,134,0,0,0,0,0
10720,2,134,0,0,0,0,0
10721,3,134,0,0,0,0,0
10722,2,134,0,0,0,0,0
10723,3,134,0,0,0,0,0
10724,2,134,0,0,0,0,0
10725,3,134,0,0,0,0,0
10726,1,134,0,1,0,0,0
10727,3,134,0,0,0,0,0
10728,2,134,0,0,0,0,0
10729,3,134,0,0,0,0,0
10730,2,134,0,0,0,0,0
10731,3,134,0,0,0,0,0
10732,2,134,0,0,0,0,0
10733,3,134,0,0,0,0,0
10734,2,134,0,0,0,0,0
10735,3,134,0,0,0,0,0
10736,2,134,0,0,0,0,0
10737,3,134,0,0,0,0,0
10738,2,134,0,0,0,0,0
10739,3,134,0,0,0,0,0
10740,2,134,0,0,0,0,0
10741,3,134,0,0,0,0,0
10742,2,134,0,0,0,0,0
10743,3,134,0,0,0,0,0
10744,2,134,0,0,0,0,0
10745,3,134,0,0,0,0,0
10746,2,134,0,0,0,0,0
10747,3,134,0,0,0,0,0
10748,2,134,0,0,0,0,0
10749,3,134,0,0,0,0,0
10750,2,134,0,0,0,0,0
10751,3,134,0,0,0,0,0
10752,2,134,0,0,0,0,0
10753,3,134,0,0,0,0,0
10754,2,134,0,0,0,0,0
10755,3,134,0,0,0,0,0
10756,2,134,0,0,0,0,0
10757,3,134,0,0,0,0,0
10758,2,134,0,0,0,0,0
10759,3,134,0,0,0,0,0
10760,2,134,0,0,0,0,0
10761,3,134,0,0,0,0,0
10762,2,134,0,0,0,0,0
10763,3,134,0,0,0,0,0
10764,2,134,0,0,0,0,0
10765,3,134,0,0,0,0,0
10766,2,134,0,0,0,0,0
10767,3,134,0,0,0,0,0
10768,2,134,0,0,0,0,0
10769,3,134,0,0,0,0,0
10770,2,134,0,0,0,0,0
10771,3,134,0,0,0,0,0
10772,2,134,0,0,0,0,0
10773,2,134,0,1,0,0,0
10774,2,134,0,0,0,0,0
10775,3,134,0,0,0,0,0
10776,2,134,0,0,0,0,0
10777,3,134,0,0,0,0,0
10778,2,134,0,0,0,0,0
10779,3,134,0,0,0,0,0
10780,2,134,0,0,0,0,0
10781,3,134,0,0,0,0,0
10782,2,134,0,0,0,0,0
10783,3,134,0,0,0,0,0
10784,2,134,0,0,0,0,0
10785,3,134,0,0,0,0,0
10786,2,134,0,0,0,0,0
10787,3,134,0,0,0,0,0
10788,2,134,0,0,0,0,0
10789,3,134,0,0,0,0,0
10790,2,134,0,0,0,0,0
10791,3,134,0,0,0,0,0
10792,2,134,0,0,0,0,0
10793,3,134,0,0,0,0,0
10794,2,134,0,0,0,0,0
10795,3,134,0,0,0,0,0
10796,2,134,0,0,0,0,0
10797,3,134,0,0,0,0,0
10798,2,134,0,0,0,0,0
10799,3,134,0,0,0,0,0
10800,2,134,0,0,0,0,0
10801,3,134,0,0,0,0,0
10802,2,134,0,0,0,0,0
10803,3,134,0,0,0,0,0
10804,2,134,0,0,0,0,0
10805,3,134,0,0,0,0,0
10806,2,134,0,0,0,0,0
10807,3,134,0,0,0,0,0
10808,2,134,0,0,0,0,0
10809,3,134,0,0,0,0,0
10810,2,134,0,0,0,0,0
10811,3,134,0,0,0,0,0
10812,2,134,0,0,0,0,0
10813,3,134,0,0,0,0,0
10814,2,134,0,0,0,0,0
10815,3,134,0,0,0,0,0
10816,2,134,0,0,0,0,0
10817,3,134,0,0,0,0,0
10818,2,134,0,0,0,0,0
10819,3,134,0,0,0,0,0
10820,2,134,0,0,0,0,0
10821,3,134,0,0,0,0,0
10822,2,134,0,0,0,0,0
10823,3,134,0,0,0,0,0
10824,2,134,0,0,0,0,0
10825,3,134,0,0,0,0,0
10826,2,134,0,0,0,0,0
10827,3,134,0,0,0,0,0
10828,2,134,0,0,0,0,0
10829,3,134,0,0,0,0,0
10830,2,134,0,0,0,0,0
10831,3,134,0,0,0,0,0
10832,2,134,0,0,0,0,0
