Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Data_Object_Change,Src_Port_Changed,Dst_Port_Changed
11175,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11176,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11177,3,50.67,0,0,0,0,0,0,0,0,3,0,0,0,0,0
11178,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
11179,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11180,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11181,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11183,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11184,1,10.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11185,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11186,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11187,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11188,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
11189,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11190,3,50.67,0,0,0,0,0,0,0,0,3,0,0,0,0,0
11191,1,10.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11193,1,10.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11194,1,10.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11195,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11196,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11197,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
11198,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11199,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
11200,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11201,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11202,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
11203,3,50.67,0,0,0,0,0,0,0,0,3,0,0,0,0,0
11204,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11205,1,10.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11206,1,10.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11208,1,10.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11209,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11210,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
11211,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
11212,1,10.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
