Window_Num,Num_Packets,Avg_Length,Num_Streams,Flag_Ack,Flag_Retransmission,Flag_Reset,Flag_Syn,Flag_Fin,Src_Port_Changed,Dst_Port_Changed,Round_Trip_Time
11175,2,66.0,1,1,0,0,0,0,0,0,7.514e-06
11176,2,66.0,1,1,0,0,0,0,0,0,7.816e-06
11177,3,66.0,1,1,0,0,0,0,0,0,7.594e-06
11178,3,66.0,1,1,0,0,0,0,0,0,7.673e-06
11179,2,66.0,1,1,0,0,0,0,0,0,7.974e-06
11180,2,66.0,1,1,0,0,0,0,0,0,7.889e-06
11181,2,66.0,1,1,0,0,0,0,0,0,7.82e-06
11182,2,78.0,1,1,1,0,0,0,0,0,1.9162e-05
11183,2,66.0,1,1,0,0,0,0,0,0,8.475e-06
11184,1,66.0,1,1,0,0,0,0,0,0,8.27e-06
11185,3,74.0,1,1,1,0,0,0,0,0,6.233e-06
11186,2,66.0,1,1,0,0,0,0,0,0,7.61e-06
11187,2,66.0,1,1,0,0,0,0,0,0,8.515e-06
11188,3,66.0,1,1,0,0,0,0,0,0,7.986e-06
11189,2,66.0,1,1,0,0,0,0,0,0,8.396e-06
11190,3,66.0,1,1,0,0,0,0,0,0,7.538e-06
11192,3,78.0,1,1,1,0,0,0,0,0,2.000021365
11193,1,66.0,1,1,0,0,0,0,0,0,2.0000489
11194,1,66.0,1,1,0,0,0,0,0,0,7.949e-06
11195,2,66.0,1,1,0,0,0,0,0,0,7.431e-06
11196,2,66.0,1,1,0,0,0,0,0,0,8.276e-06
11197,3,66.0,1,1,0,0,0,0,0,0,7.62e-06
11198,2,66.0,1,1,0,0,0,0,0,0,7.269e-06
11199,3,66.0,1,1,0,0,0,0,0,0,7.919e-06
11200,2,66.0,1,1,0,0,0,0,0,0,7.841e-06
11201,2,66.0,1,1,0,0,0,0,0,0,7.115e-06
11202,3,66.0,1,1,0,0,0,0,0,0,8.184e-06
11203,3,66.0,1,1,0,0,0,0,0,0,7.941e-06
11204,2,66.0,1,1,0,0,0,0,0,0,7.847e-06
11206,3,74.0,1,1,1,0,0,0,0,0,5.723e-06
11207,1,78.0,1,1,0,0,0,0,0,0,0
11208,1,66.0,1,1,0,0,0,0,0,0,8.047e-06
11209,2,66.0,1,1,0,0,0,0,0,0,8.107e-06
11210,2,66.0,1,1,0,0,0,0,0,0,7.724e-06
11211,3,66.0,1,1,0,0,0,0,0,0,8.002e-06
11212,1,66.0,1,1,0,0,0,0,0,0,7.741e-06
