Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Data_Object_Change,Src_Port_Changed,Dst_Port_Changed
6341,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
6342,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
6343,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
6344,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
6345,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
6346,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
6347,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
6348,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
6349,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
6350,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
6351,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
6352,6,23.17,0,0,0,0,0,0,0,0,3,3,0,0,0,0
6353,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
6354,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
6355,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
6356,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
6357,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
6358,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
6359,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
6360,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
6361,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
6362,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
6363,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
6364,6,23.17,0,0,0,0,0,0,0,0,4,2,0,0,0,0
6365,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
6366,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
6367,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
6368,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
