Window_Num,Num_Packets,Avg_Length,Num_Streams,Flag_Ack,Flag_Retransmission,Flag_Reset,Flag_Syn,Flag_Fin,Src_Port_Changed,Dst_Port_Changed,Round_Trip_Time
6341,5,66.0,1,1,0,0,0,0,0,0,9e-06
6342,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
6343,5,66.0,1,1,0,0,0,0,0,0,3.3e-05
6344,4,66.0,1,1,0,0,0,0,0,0,2.5e-05
6345,6,66.0,1,1,0,0,0,0,0,0,9e-06
6346,4,66.0,1,1,0,0,0,0,0,0,2.3e-05
6347,6,66.0,1,1,0,0,0,0,0,0,9e-06
6348,4,66.0,1,1,0,0,0,0,0,0,2.2e-05
6349,5,66.0,1,1,0,0,0,0,0,0,2.5e-05
6350,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
6351,5,66.0,1,1,0,0,0,0,0,0,9e-06
6352,6,66.0,1,1,0,0,0,0,0,0,4.8e-05
6353,5,66.0,1,1,0,0,0,0,0,0,3.3e-05
6354,4,66.0,1,1,0,0,0,0,0,0,3e-05
6355,6,66.0,1,1,0,0,0,0,0,0,1e-05
6356,4,66.0,1,1,0,0,0,0,0,0,1e-05
6357,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
6358,5,66.0,1,1,0,0,0,0,0,0,1e-05
6359,4,66.0,1,1,0,0,0,0,0,0,1.2e-05
6360,6,66.0,1,1,0,0,0,0,0,0,1.2e-05
6361,4,66.0,1,1,0,0,0,0,0,0,1.2e-05
6362,5,66.0,1,1,0,0,0,0,0,0,9e-06
6363,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
6364,6,66.0,1,1,0,0,0,0,0,0,9e-06
6365,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
6366,5,66.0,1,1,0,0,0,0,0,0,1e-05
6367,4,66.0,1,1,0,0,0,0,0,0,1e-05
6368,6,66.0,1,1,0,0,0,0,0,0,2.6e-05
6369,4,66.0,1,1,0,0,0,0,0,0,0.040903
6370,6,66.0,1,1,0,0,0,0,0,0,1.1e-05
6371,4,66.0,1,1,0,0,0,0,0,0,3.3e-05
6372,6,66.0,1,1,0,0,0,0,0,0,3.4e-05
6373,4,66.0,1,1,0,0,0,0,0,0,3.4e-05
6374,5,66.0,1,1,0,0,0,0,0,0,2.8e-05
6375,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
6376,6,66.0,1,1,0,0,0,0,0,0,2.3e-05
6377,4,66.0,1,1,0,0,0,0,0,0,2.6e-05
6378,6,66.0,1,1,0,0,0,0,0,0,9e-06
6379,4,66.0,1,1,0,0,0,0,0,0,2.8e-05
6380,6,66.0,1,1,0,0,0,0,0,0,2.5e-05
6381,4,66.0,1,1,0,0,0,0,0,0,2.8e-05
6382,5,66.0,1,1,0,0,0,0,0,0,2.4e-05
6383,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
6384,5,66.0,1,1,0,0,0,0,0,0,9e-06
6385,5,66.0,1,1,0,0,0,0,0,0,2.7e-05
6386,5,66.0,1,1,0,0,0,0,0,0,9e-06
6387,4,66.0,1,1,0,0,0,0,0,0,2.7e-05
6388,6,66.0,1,1,0,0,0,0,0,0,1.3e-05
6389,5,66.0,1,1,0,0,0,0,0,0,1e-05
6390,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
6391,5,66.0,1,1,0,0,0,0,0,0,1e-05
6392,4,66.0,1,1,0,0,0,0,0,0,0.040656
6393,6,66.0,1,1,0,0,0,0,0,0,2.6e-05
6394,4,66.0,1,1,0,0,0,0,0,0,1.3e-05
6395,6,66.0,1,1,0,0,0,0,0,0,2.6e-05
6396,4,66.0,1,1,0,0,0,0,0,0,5.5e-05
6397,5,66.0,1,1,0,0,0,0,0,0,9e-06
6398,5,66.0,1,1,0,0,0,0,0,0,3e-05
6399,5,66.0,1,1,0,0,0,0,0,0,9e-06
6400,5,66.0,1,1,0,0,0,0,0,0,1e-05
6401,6,66.0,1,1,0,0,0,0,0,0,1e-05
6402,4,66.0,1,1,0,0,0,0,0,0,9e-06
6403,6,66.0,1,1,0,0,0,0,0,0,9e-06
6404,4,66.0,1,1,0,0,0,0,0,0,9e-06
6405,6,66.0,1,1,0,0,0,0,0,0,2.8e-05
6406,4,66.0,1,1,0,0,0,0,0,0,7.3e-05
6407,5,66.0,1,1,0,0,0,0,0,0,2.8e-05
6408,5,66.0,1,1,0,0,0,0,0,0,3.5e-05
6409,5,66.0,1,1,0,0,0,0,0,0,2.5e-05
6410,5,66.0,1,1,0,0,0,0,0,0,3.1e-05
6411,5,66.0,1,1,0,0,0,0,0,0,2.6e-05
6412,5,66.0,1,1,0,0,0,0,0,0,9e-06
6413,6,66.0,1,1,0,0,0,0,0,0,9e-06
6414,4,66.0,1,1,0,0,0,0,0,0,9e-06
6415,6,66.0,1,1,0,0,0,0,0,0,9e-06
6416,4,66.0,1,1,0,0,0,0,0,0,0.041931
6417,5,66.0,1,1,0,0,0,0,0,0,2.4e-05
6418,5,66.0,1,1,0,0,0,0,0,0,2.9e-05
6419,4,66.0,1,1,0,0,0,0,0,0,1.3e-05
6420,6,66.0,1,1,0,0,0,0,0,0,3.2e-05
6421,4,66.0,1,1,0,0,0,0,0,0,3.6e-05
6422,5,66.0,1,1,0,0,0,0,0,0,1e-05
6423,5,66.0,1,1,0,0,0,0,0,0,2.9e-05
6424,6,66.0,1,1,0,0,0,0,0,0,1e-05
6425,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
6426,5,66.0,1,1,0,0,0,0,0,0,9e-06
6427,4,66.0,1,1,0,0,0,0,0,0,1.2e-05
6428,6,66.0,1,1,0,0,0,0,0,0,0.040624
6429,4,66.0,1,1,0,0,0,0,0,0,2.7e-05
6430,6,66.0,1,1,0,0,0,0,0,0,1.2e-05
6431,4,66.0,1,1,0,0,0,0,0,0,2.6e-05
6432,5,66.0,1,1,0,0,0,0,0,0,9e-06
6433,5,66.0,1,1,0,0,0,0,0,0,1.7e-05
6434,5,66.0,1,1,0,0,0,0,0,0,9e-06
6435,5,66.0,1,1,0,0,0,0,0,0,1.4e-05
6436,6,66.0,1,1,0,0,0,0,0,0,1e-05
6437,4,66.0,1,1,0,0,0,0,0,0,3e-05
6438,6,66.0,1,1,0,0,0,0,0,0,9e-06
6439,4,66.0,1,1,0,0,0,0,0,0,9e-06
6440,6,66.0,1,1,0,0,0,0,0,0,9e-06
6441,4,66.0,1,1,0,0,0,0,0,0,2.4e-05
6442,5,66.0,1,1,0,0,0,0,0,0,2.6e-05
6443,5,66.0,1,1,0,0,0,0,0,0,2.7e-05
6444,5,66.0,1,1,0,0,0,0,0,0,9e-06
6445,5,66.0,1,1,0,0,0,0,0,0,3.1e-05
6446,5,66.0,1,1,0,0,0,0,0,0,9e-06
6447,4,66.0,1,1,0,0,0,0,0,0,9e-06
6448,7,66.0,1,1,0,0,0,0,0,0,2.6e-05
6449,4,66.0,1,1,0,0,0,0,0,0,9e-06
6450,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
6451,5,66.0,1,1,0,0,0,0,0,0,9e-06
6452,4,66.0,1,1,0,0,0,0,0,0,2.8e-05
6453,6,66.0,1,1,0,0,0,0,0,0,1.3e-05
6454,4,66.0,1,1,0,0,0,0,0,0,4.5e-05
6455,6,66.0,1,1,0,0,0,0,0,0,1.7e-05
6456,4,66.0,1,1,0,0,0,0,0,0,1.4e-05
6457,5,66.0,1,1,0,0,0,0,0,0,2.3e-05
6458,5,66.0,1,1,0,0,0,0,0,0,2.9e-05
6459,5,66.0,1,1,0,0,0,0,0,0,9e-06
6460,5,66.0,1,1,0,0,0,0,0,0,1.2e-05
6461,5,66.0,1,1,0,0,0,0,0,0,2.6e-05
6462,4,66.0,1,1,0,0,0,0,0,0,9e-06
6463,6,66.0,1,1,0,0,0,0,0,0,9e-06
6464,4,66.0,1,1,0,0,0,0,0,0,1.2e-05
6465,5,66.0,1,1,0,0,0,0,0,0,1e-05
6466,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
6467,5,66.0,1,1,0,0,0,0,0,0,9e-06
6468,5,66.0,1,1,0,0,0,0,0,0,2.7e-05
6469,5,66.0,1,1,0,0,0,0,0,0,9e-06
6470,4,66.0,1,1,0,0,0,0,0,0,4e-05
6471,6,66.0,1,1,0,0,0,0,0,0,9e-06
6472,5,66.0,1,1,0,0,0,0,0,0,2.3e-05
6473,6,66.0,1,1,0,0,0,0,0,0,9e-06
6474,4,66.0,1,1,0,0,0,0,0,0,9e-06
6475,6,66.0,1,1,0,0,0,0,0,0,9e-06
6476,4,66.0,1,1,0,0,0,0,0,0,3.7e-05
6477,5,66.0,1,1,0,0,0,0,0,0,9e-06
6478,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
6479,5,66.0,1,1,0,0,0,0,0,0,1e-05
6480,5,66.0,1,1,0,0,0,0,0,0,3.2e-05
6481,4,66.0,1,1,0,0,0,0,0,0,1.3e-05
6482,5,66.0,1,1,0,0,0,0,0,0,1e-05
6483,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
6484,6,66.0,1,1,0,0,0,0,0,0,1e-05
6485,5,66.0,1,1,0,0,0,0,0,0,1.2e-05
6486,5,66.0,1,1,0,0,0,0,0,0,2.4e-05
6487,4,66.0,1,1,0,0,0,0,0,0,2.7e-05
6488,6,66.0,1,1,0,0,0,0,0,0,1.2e-05
6489,4,66.0,1,1,0,0,0,0,0,0,1.2e-05
6490,6,66.0,1,1,0,0,0,0,0,0,1.2e-05
6491,4,66.0,1,1,0,0,0,0,0,0,1.4e-05
6492,5,66.0,1,1,0,0,0,0,0,0,9e-06
6493,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
6494,5,66.0,1,1,0,0,0,0,0,0,9e-06
6495,5,66.0,1,1,0,0,0,0,0,0,2.7e-05
6496,6,66.0,1,1,0,0,0,0,0,0,9e-06
6497,4,66.0,1,1,0,0,0,0,0,0,9e-06
6498,6,66.0,1,1,0,0,0,0,0,0,9e-06
6499,4,66.0,1,1,0,0,0,0,0,0,2.6e-05
6500,6,66.0,1,1,0,0,0,0,0,0,1.1e-05
6501,4,66.0,1,1,0,0,0,0,0,0,3.3e-05
6502,5,66.0,1,1,0,0,0,0,0,0,9e-06
6503,5,66.0,1,1,0,0,0,0,0,0,1.2e-05
6504,5,66.0,1,1,0,0,0,0,0,0,9e-06
6505,4,66.0,1,1,0,0,0,0,0,0,9e-06
6506,6,66.0,1,1,0,0,0,0,0,0,2.3e-05
6507,4,66.0,1,1,0,0,0,0,0,0,1e-05
6508,7,66.0,1,1,0,0,0,0,0,0,9e-06
6509,4,66.0,1,1,0,0,0,0,0,0,9e-06
6510,6,66.0,1,1,0,0,0,0,0,0,1e-05
6511,4,66.0,1,1,0,0,0,0,0,0,1.1e-05
6512,4,66.0,1,1,0,0,0,0,0,0,1.4e-05
6513,6,66.0,1,1,0,0,0,0,0,0,1.3e-05
6514,4,66.0,1,1,0,0,0,0,0,0,1.3e-05
6515,6,66.0,1,1,0,0,0,0,0,0,1.2e-05
6516,4,66.0,1,1,0,0,0,0,0,0,2.2e-05
6517,5,66.0,1,1,0,0,0,0,0,0,2.9e-05
6518,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
6519,5,66.0,1,1,0,0,0,0,0,0,1e-05
6520,5,66.0,1,1,0,0,0,0,0,0,9e-06
6521,6,66.0,1,1,0,0,0,0,0,0,2.3e-05
6522,4,66.0,1,1,0,0,0,0,0,0,3.7e-05
6523,6,66.0,1,1,0,0,0,0,0,0,1.2e-05
6524,4,66.0,1,1,0,0,0,0,0,0,1.9e-05
6525,5,66.0,1,1,0,0,0,0,0,0,9e-06
6526,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
6527,5,66.0,1,1,0,0,0,0,0,0,1e-05
6528,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
6529,5,66.0,1,1,0,0,0,0,0,0,9e-06
6530,4,66.0,1,1,0,0,0,0,0,0,9e-06
6531,6,66.0,1,1,0,0,0,0,0,0,9e-06
6532,5,66.0,1,1,0,0,0,0,0,0,9e-06
6533,6,66.0,1,1,0,0,0,0,0,0,2.6e-05
6534,4,66.0,1,1,0,0,0,0,0,0,3e-05
6535,5,66.0,1,1,0,0,0,0,0,0,9e-06
6536,5,66.0,1,1,0,0,0,0,0,0,1.4e-05
6537,5,66.0,1,1,0,0,0,0,0,0,9e-06
6538,4,66.0,1,1,0,0,0,0,0,0,1e-05
6539,6,66.0,1,1,0,0,0,0,0,0,4.5e-05
6540,4,66.0,1,1,0,0,0,0,0,0,9e-06
6541,6,66.0,1,1,0,0,0,0,0,0,9e-06
6542,4,66.0,1,1,0,0,0,0,0,0,9e-06
6543,4,66.0,1,1,0,0,0,0,0,0,0.040873
6544,7,66.0,1,1,0,0,0,0,0,0,3.1e-05
6545,4,66.0,1,1,0,0,0,0,0,0,1.3e-05
6546,6,66.0,1,1,0,0,0,0,0,0,1.3e-05
6547,4,66.0,1,1,0,0,0,0,0,0,1.3e-05
6548,5,66.0,1,1,0,0,0,0,0,0,9e-06
6549,5,66.0,1,1,0,0,0,0,0,0,2.9e-05
6550,5,66.0,1,1,0,0,0,0,0,0,9e-06
6551,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
6552,5,66.0,1,1,0,0,0,0,0,0,9e-06
6553,4,66.0,1,1,0,0,0,0,0,0,9e-06
6554,6,66.0,1,1,0,0,0,0,0,0,0.041117
6555,4,66.0,1,1,0,0,0,0,0,0,9e-06
6556,7,66.0,1,1,0,0,0,0,0,0,1.1e-05
6557,4,66.0,1,1,0,0,0,0,0,0,1.2e-05
6558,5,66.0,1,1,0,0,0,0,0,0,8e-06
6559,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
6560,5,66.0,1,1,0,0,0,0,0,0,9e-06
6561,5,66.0,1,1,0,0,0,0,0,0,1.2e-05
6562,5,66.0,1,1,0,0,0,0,0,0,9e-06
6563,4,66.0,1,1,0,0,0,0,0,0,2.8e-05
6564,6,66.0,1,1,0,0,0,0,0,0,9e-06
6565,4,66.0,1,1,0,0,0,0,0,0,9e-06
6566,6,66.0,1,1,0,0,0,0,0,0,1e-05
6567,4,66.0,1,1,0,0,0,0,0,0,0.04169
6568,6,66.0,1,1,0,0,0,0,0,0,1.4e-05
6569,5,66.0,1,1,0,0,0,0,0,0,3e-05
6570,5,66.0,1,1,0,0,0,0,0,0,9e-06
6571,5,66.0,1,1,0,0,0,0,0,0,1.2e-05
6572,5,66.0,1,1,0,0,0,0,0,0,9e-06
6573,4,66.0,1,1,0,0,0,0,0,0,1e-05
