Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Data_Object_Change,Src_Port_Changed,Dst_Port_Changed
9712,1,10.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9713,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
9714,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
9715,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
9716,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
9717,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
9718,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
9719,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
9720,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
9721,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
9722,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
9723,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
9724,3,50.67,0,0,0,0,0,0,0,0,3,0,0,0,0,0
9725,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
9726,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
9727,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
9728,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
9729,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
9730,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
9731,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
9732,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
9733,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
9734,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
9735,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
9736,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
