Window_Num,Num_Packets,Avg_Length,Num_Streams,Flag_Ack,Flag_Retransmission,Flag_Reset,Flag_Syn,Flag_Fin,Src_Port_Changed,Dst_Port_Changed,Round_Trip_Time
9712,1,66.0,1,1,0,0,0,0,0,0,1.946e-05
9713,2,66.0,1,1,0,0,0,0,0,0,7.272e-06
9714,3,66.0,1,1,0,0,0,0,0,0,7.771e-06
9715,2,66.0,1,1,0,0,0,0,0,0,8.108e-06
9716,2,66.0,1,1,0,0,0,0,0,0,7.901e-06
9717,3,66.0,1,1,0,0,0,0,0,0,7.246e-06
9718,2,66.0,1,1,0,0,0,0,0,0,8.657e-06
9719,2,66.0,1,1,0,0,0,0,0,0,7.653e-06
9720,3,66.0,1,1,0,0,0,0,0,0,7.568e-06
9721,2,66.0,1,1,0,0,0,0,0,0,7.689e-06
9722,2,66.0,1,1,0,0,0,0,0,0,9.176e-06
9723,3,66.0,1,1,0,0,0,0,0,0,7.905e-06
9724,3,66.0,1,1,0,0,0,0,0,0,9.041e-06
9725,3,66.0,1,1,0,0,0,0,0,0,7.19e-06
9726,2,66.0,1,1,0,0,0,0,0,0,7.935e-06
9727,2,66.0,1,1,0,0,0,0,0,0,7.134e-06
9728,3,66.0,1,1,0,0,0,0,0,0,7.499e-06
9729,2,66.0,1,1,0,0,0,0,0,0,8.489e-06
9730,2,66.0,1,1,0,0,0,0,0,0,9.702e-06
9731,3,66.0,1,1,0,0,0,0,0,0,7.875e-06
9732,2,66.0,1,1,0,0,0,0,0,0,7.825e-06
9733,2,66.0,1,1,0,0,0,0,0,0,7.819e-06
9734,3,66.0,1,1,0,0,0,0,0,0,8.22e-06
9735,2,66.0,1,1,0,0,0,0,0,0,8.059e-06
9736,2,66.0,1,1,0,0,0,0,0,0,7.788e-06
9737,4,66.0,1,1,0,0,0,0,0,0,8e-06
9738,2,66.0,1,1,0,0,0,0,0,0,7.842e-06
9739,2,66.0,1,1,0,0,0,0,0,0,7.8e-06
9740,3,66.0,1,1,0,0,0,0,0,0,8.081e-06
9741,2,66.0,1,1,0,0,0,0,0,0,7.405e-06
9742,2,66.0,1,1,0,0,0,0,0,0,7.731e-06
9743,3,66.0,1,1,0,0,0,0,0,0,7.846e-06
9744,2,66.0,1,1,0,0,0,0,0,0,6.931e-06
9745,2,66.0,1,1,0,0,0,0,0,0,7.188e-06
9746,3,66.0,1,1,0,0,0,0,0,0,7.42e-06
9747,2,66.0,1,1,0,0,0,0,0,0,7.864e-06
9748,3,66.0,1,1,0,0,0,0,0,0,7.641e-06
9749,3,66.0,1,1,0,0,0,0,0,0,8.005e-06
9750,2,66.0,1,1,0,0,0,0,0,0,7.545e-06
