Window_Num,Num_Packets,Avg_Length,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change
9712,4,207.0,0,0,0,0
9713,5,207.0,0,0,0,0
9714,5,207.0,0,0,0,0
9715,5,207.0,0,0,0,0
9716,5,207.0,0,0,0,0
9717,5,207.0,0,0,0,0
9718,5,207.0,0,0,0,0
9719,5,207.0,0,0,0,0
9720,5,207.0,0,0,0,0
9721,5,207.0,0,0,0,0
9722,5,207.0,0,0,0,0
9723,5,207.0,0,0,0,0
9724,5,207.0,0,0,0,0
9725,5,207.0,0,0,0,0
9726,5,207.0,0,0,0,0
9727,5,207.0,0,0,0,0
9728,5,207.0,0,0,0,0
9729,5,207.0,0,0,0,0
9730,5,207.0,0,0,0,0
9731,5,207.0,0,0,0,0
9732,5,207.0,0,0,0,0
9733,5,207.0,0,0,0,0
9734,5,207.0,0,0,0,0
9735,5,207.0,0,0,0,0
9736,5,207.0,0,0,0,0
9737,5,207.0,0,0,0,0
9738,5,207.0,0,0,0,0
9739,5,207.0,0,0,0,0
9740,5,207.0,0,0,0,0
9741,5,207.0,0,0,0,0
9742,5,207.0,0,0,0,0
9743,4,207.0,0,0,0,0
9744,5,207.0,0,0,0,0
9745,5,207.0,0,0,0,0
9746,5,207.0,0,0,0,0
9747,5,207.0,0,0,0,0
9748,5,207.0,0,0,0,0
9749,5,207.0,0,0,0,0
9750,5,207.0,0,0,0,0
9751,5,207.0,0,0,0,0
9752,5,207.0,0,0,0,0
9753,5,207.0,0,0,0,0
9754,5,207.0,0,0,0,0
9755,5,207.0,0,0,0,0
9756,5,207.0,0,0,0,0
9757,5,207.0,0,0,0,0
9758,5,207.0,0,0,0,0
9759,5,207.0,0,0,0,0
9760,5,207.0,0,0,0,0
9761,5,207.0,0,0,0,0
9762,5,207.0,0,0,0,0
9763,5,207.0,0,0,0,0
9764,5,207.0,0,0,0,0
9765,5,207.0,0,0,0,0
9766,5,207.0,0,0,0,0
9767,5,207.0,0,0,0,0
9768,5,207.0,0,0,0,0
9769,5,207.0,0,0,0,0
9770,5,207.0,0,0,0,0
9771,5,207.0,0,0,0,0
9772,5,207.0,0,0,0,0
9773,5,207.0,0,0,0,0
9774,5,207.0,0,0,0,0
9775,5,207.0,0,0,0,0
9776,5,207.0,0,0,0,0
9777,5,207.0,0,0,0,0
9778,5,207.0,0,0,0,0
9779,5,207.0,0,0,0,0
9780,5,207.0,0,0,0,0
9781,5,207.0,0,0,0,0
9782,5,207.0,0,0,0,0
9783,5,207.0,0,0,0,0
9784,5,207.0,0,0,0,0
9785,5,207.0,0,0,0,0
9786,5,207.0,0,0,0,0
9787,5,207.0,0,0,0,0
9788,5,207.0,0,0,0,0
9789,5,207.0,0,0,0,0
9790,5,207.0,0,0,0,0
9791,5,207.0,0,0,0,0
9792,5,207.0,0,0,0,0
9793,5,207.0,0,0,0,0
9794,5,207.0,0,0,0,0
9795,5,207.0,0,0,0,0
9796,5,207.0,0,0,0,0
9797,5,207.0,0,0,0,0
9798,5,207.0,0,0,0,0
9799,4,207.0,0,0,0,0
9800,5,207.0,0,0,0,0
9801,5,207.0,0,0,0,0
9802,5,207.0,0,0,0,0
9803,5,207.0,0,0,0,0
9804,5,207.0,0,0,0,0
9805,5,207.0,0,0,0,0
9806,5,207.0,0,0,0,0
9807,5,207.0,0,0,0,0
9808,5,207.0,0,0,0,0
9809,5,207.0,0,0,0,0
9810,5,207.0,0,0,0,0
9811,5,207.0,0,0,0,0
9812,5,207.0,0,0,0,0
9813,5,207.0,0,0,0,0
9814,5,207.0,0,0,0,0
9815,5,207.0,0,0,0,0
9816,5,207.0,0,0,0,0
9817,5,207.0,0,0,0,0
9818,5,207.0,0,0,0,0
9819,5,207.0,0,0,0,0
9820,5,207.0,0,0,0,0
9821,5,207.0,0,0,0,0
9822,5,207.0,0,0,0,0
9823,5,207.0,0,0,0,0
9824,5,207.0,0,0,0,0
9825,5,207.0,0,0,0,0
9826,5,207.0,0,0,0,0
9827,5,207.0,0,0,0,0
9828,5,207.0,0,0,0,0
9829,5,207.0,0,0,0,0
9830,5,207.0,0,0,0,0
9831,5,207.0,0,0,0,0
9832,5,207.0,0,0,0,0
9833,5,207.0,0,0,0,0
9834,5,207.0,0,0,0,0
9835,5,207.0,0,0,0,0
9836,5,207.0,0,0,0,0
9837,5,207.0,0,0,0,0
9838,5,207.0,0,0,0,0
9839,5,207.0,0,0,0,0
9840,5,207.0,0,0,0,0
9841,5,207.0,0,0,0,0
9842,5,207.0,0,0,0,0
9843,5,207.0,0,0,0,0
9844,5,207.0,0,0,0,0
9845,5,207.0,0,0,0,0
9846,5,207.0,0,0,0,0
9847,5,207.0,0,0,0,0
9848,5,207.0,0,0,0,0
9849,5,207.0,0,0,0,0
9850,5,207.0,0,0,0,0
9851,5,207.0,0,0,0,0
9852,5,207.0,0,0,0,0
9853,5,207.0,0,0,0,0
9854,5,207.0,0,0,0,0
9855,4,207.0,0,0,0,0
9856,5,207.0,0,0,0,0
9857,5,207.0,0,0,0,0
9858,5,207.0,0,0,0,0
9859,5,207.0,0,0,0,0
9860,5,207.0,0,0,0,0
9861,5,207.0,0,0,0,0
9862,5,207.0,0,0,0,0
9863,5,207.0,0,0,0,0
9864,5,207.0,0,0,0,0
9865,5,207.0,0,0,0,0
9866,5,207.0,0,0,0,0
9867,5,207.0,0,0,0,0
9868,5,207.0,0,0,0,0
9869,5,207.0,0,0,0,0
9870,5,207.0,0,0,0,0
9871,5,207.0,0,0,0,0
9872,5,207.0,0,0,0,0
9873,5,207.0,0,0,0,0
9874,5,207.0,0,0,0,0
9875,5,207.0,0,0,0,0
9876,5,207.0,0,0,0,0
9877,5,207.0,0,0,0,0
9878,5,207.0,0,0,0,0
9879,5,207.0,0,0,0,0
9880,5,207.0,0,0,0,0
9881,5,207.0,0,0,0,0
9882,5,207.0,0,0,0,0
9883,5,207.0,0,0,0,0
9884,5,207.0,0,0,0,0
9885,5,207.0,0,0,0,0
9886,5,207.0,0,0,0,0
9887,5,207.0,0,0,0,0
9888,5,207.0,0,0,0,0
9889,5,207.0,0,0,0,0
9890,5,207.0,0,0,0,0
9891,5,207.0,0,0,0,0
9892,5,207.0,0,0,0,0
9893,5,207.0,0,0,0,0
9894,5,207.0,0,0,0,0
9895,5,207.0,0,0,0,0
9896,5,207.0,0,0,0,0
9897,5,207.0,0,0,0,0
9898,5,207.0,0,0,0,0
9899,5,207.0,0,0,0,0
9900,5,207.0,0,0,0,0
9901,5,207.0,0,0,0,0
9902,5,207.0,0,0,0,0
9903,5,207.0,0,0,0,0
9904,5,207.0,0,0,0,0
9905,5,207.0,0,0,0,0
9906,5,207.0,0,0,0,0
9907,5,207.0,0,0,0,0
9908,5,207.0,0,0,0,0
9909,5,207.0,0,0,0,0
9910,5,207.0,0,0,0,0
9911,4,207.0,0,0,0,0
9912,5,207.0,0,0,0,0
9913,5,207.0,0,0,0,0
9914,5,207.0,0,0,0,0
9915,5,207.0,0,0,0,0
9916,5,207.0,0,0,0,0
9917,5,207.0,0,0,0,0
9918,5,207.0,0,0,0,0
9919,5,207.0,0,0,0,0
9920,5,207.0,0,0,0,0
9921,5,207.0,0,0,0,0
9922,5,207.0,0,0,0,0
9923,5,207.0,0,0,0,0
9924,5,207.0,0,0,0,0
9925,5,207.0,0,0,0,0
9926,5,207.0,0,0,0,0
9927,5,207.0,0,0,0,0
9928,5,207.0,0,0,0,0
9929,5,207.0,0,0,0,0
9930,5,207.0,0,0,0,0
9931,5,207.0,0,0,0,0
9932,5,207.0,0,0,0,0
9933,5,207.0,0,0,0,0
9934,5,207.0,0,0,0,0
9935,5,207.0,0,0,0,0
9936,5,207.0,0,0,0,0
9937,5,207.0,0,0,0,0
9938,5,207.0,0,0,0,0
9939,5,207.0,0,0,0,0
9940,5,207.0,0,0,0,0
9941,5,207.0,0,0,0,0
9942,5,207.0,0,0,0,0
9943,5,207.0,0,0,0,0
9944,5,207.0,0,0,0,0
9945,5,207.0,0,0,0,0
9946,5,207.0,0,0,0,0
9947,5,207.0,0,0,0,0
9948,5,207.0,0,0,0,0
9949,5,207.0,0,0,0,0
9950,5,207.0,0,0,0,0
9951,5,207.0,0,0,0,0
9952,5,207.0,0,0,0,0
9953,5,207.0,0,0,0,0
9954,5,207.0,0,0,0,0
9955,5,207.0,0,0,0,0
9956,5,207.0,0,0,0,0
9957,5,207.0,0,0,0,0
9958,5,207.0,0,0,0,0
9959,5,207.0,0,0,0,0
9960,5,207.0,0,0,0,0
9961,5,207.0,0,0,0,0
9962,5,207.0,0,0,0,0
9963,5,207.0,0,0,0,0
9964,5,207.0,0,0,0,0
9965,5,207.0,0,0,0,0
9966,5,207.0,0,0,0,0
9967,4,207.0,0,0,0,0
9968,5,207.0,0,0,0,0
9969,5,207.0,0,0,0,0
9970,5,207.0,0,0,0,0
9971,5,207.0,0,0,0,0
9972,5,207.0,0,0,0,0
9973,5,207.0,0,0,0,0
9974,5,207.0,0,0,0,0
9975,5,207.0,0,0,0,0
9976,5,207.0,0,0,0,0
9977,5,207.0,0,0,0,0
9978,5,207.0,0,0,0,0
9979,5,207.0,0,0,0,0
9980,5,207.0,0,0,0,0
9981,5,207.0,0,0,0,0
9982,5,207.0,0,0,0,0
9983,5,207.0,0,0,0,0
9984,5,207.0,0,0,0,0
9985,5,207.0,0,0,0,0
9986,5,207.0,0,0,0,0
9987,5,207.0,0,0,0,0
9988,5,207.0,0,0,0,0
9989,5,207.0,0,0,0,0
9990,5,207.0,0,0,0,0
9991,5,207.0,0,0,0,0
9992,5,207.0,0,0,0,0
9993,5,207.0,0,0,0,0
9994,5,207.0,0,0,0,0
9995,5,207.0,0,0,0,0
9996,5,207.0,0,0,0,0
9997,5,207.0,0,0,0,0
9998,5,207.0,0,0,0,0
9999,5,207.0,0,0,0,0
10000,5,207.0,0,0,0,0
10001,5,207.0,0,0,0,0
10002,5,207.0,0,0,0,0
10003,5,207.0,0,0,0,0
10004,5,207.0,0,0,0,0
10005,5,207.0,0,0,0,0
10006,5,207.0,0,0,0,0
10007,5,207.0,0,0,0,0
10008,5,207.0,0,0,0,0
10009,5,207.0,0,0,0,0
10010,5,207.0,0,0,0,0
10011,5,207.0,0,0,0,0
10012,5,207.0,0,0,0,0
10013,5,207.0,0,0,0,0
10014,5,207.0,0,0,0,0
10015,5,207.0,0,0,0,0
10016,5,207.0,0,0,0,0
10017,5,207.0,0,0,0,0
10018,5,207.0,0,0,0,0
10019,5,207.0,0,0,0,0
10020,5,207.0,0,0,0,0
10021,5,207.0,0,0,0,0
10022,5,207.0,0,0,0,0
10023,4,207.0,0,0,0,0
10024,5,207.0,0,0,0,0
10025,5,207.0,0,0,0,0
10026,5,207.0,0,0,0,0
10027,5,207.0,0,0,0,0
10028,5,207.0,0,0,0,0
10029,5,207.0,0,0,0,0
10030,5,207.0,0,0,0,0
10031,5,207.0,0,0,0,0
10032,5,207.0,0,0,0,0
10033,5,207.0,0,0,0,0
10034,5,207.0,0,0,0,0
10035,5,207.0,0,0,0,0
10036,5,207.0,0,0,0,0
10037,5,207.0,0,0,0,0
10038,5,207.0,0,0,0,0
10039,5,207.0,0,0,0,0
10040,5,207.0,0,0,0,0
10041,5,207.0,0,0,0,0
10042,5,207.0,0,0,0,0
10043,5,207.0,0,0,0,0
10044,5,207.0,0,0,0,0
10045,5,207.0,0,0,0,0
10046,5,207.0,0,0,0,0
10047,5,207.0,0,0,0,0
10048,5,207.0,0,0,0,0
10049,5,207.0,0,0,0,0
10050,5,207.0,0,0,0,0
10051,5,207.0,0,0,0,0
10052,5,207.0,0,0,0,0
10053,5,207.0,0,0,0,0
10054,5,207.0,0,0,0,0
10055,5,207.0,0,0,0,0
10056,5,207.0,0,0,0,0
10057,5,207.0,0,0,0,0
10058,5,207.0,0,0,0,0
10059,5,207.0,0,0,0,0
10060,5,207.0,0,0,0,0
10061,5,207.0,0,0,0,0
10062,5,207.0,0,0,0,0
10063,5,207.0,0,0,0,0
10064,5,207.0,0,0,0,0
10065,5,207.0,0,0,0,0
10066,5,207.0,0,0,0,0
10067,5,207.0,0,0,0,0
10068,5,207.0,0,0,0,0
10069,5,207.0,0,0,0,0
10070,5,207.0,0,0,0,0
