Window_Num,Num_Packets,Avg_Length,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change,Num_Events
11584,5,285.0,0,0,0,0,0
11585,5,285.0,0,0,0,0,0
11586,5,285.0,0,0,0,0,0
11587,5,285.0,0,0,0,0,0
11588,5,285.0,0,0,0,0,0
11589,5,285.0,0,0,0,0,0
11590,5,285.0,0,0,0,0,0
11591,5,285.0,0,0,0,0,0
11592,5,285.0,0,0,0,0,0
11593,5,285.0,0,0,0,0,0
11594,5,285.0,0,0,0,0,0
11595,5,285.0,0,0,0,0,0
11596,5,285.0,0,0,0,0,0
11597,5,285.0,0,0,0,0,0
11598,5,285.0,0,0,0,0,0
11599,5,285.0,0,0,0,0,0
11600,5,285.0,0,0,0,0,0
11601,5,285.0,0,0,0,0,0
11602,5,285.0,0,0,0,0,0
11603,5,285.0,0,0,0,0,0
11604,5,285.0,0,0,0,0,0
11605,5,285.0,0,0,0,0,0
11606,5,285.0,0,0,0,0,0
11607,5,285.0,0,0,0,0,0
11608,5,285.0,0,0,0,0,0
11609,5,285.0,0,0,0,0,0
11610,5,285.0,0,0,0,0,0
11611,5,285.0,0,0,0,0,0
11612,5,285.0,0,0,0,0,0
11613,5,285.0,0,0,0,0,0
11614,5,285.0,0,0,0,0,0
11615,5,285.0,0,0,0,0,0
11616,5,285.0,0,0,0,0,0
11617,5,285.0,0,0,0,0,0
11618,5,285.0,0,0,0,0,0
11619,5,285.0,0,0,0,0,0
11620,5,285.0,0,0,0,0,0
11621,5,285.0,0,0,0,0,0
11622,5,285.0,0,0,0,0,0
11623,5,285.0,0,0,0,0,0
11624,5,285.0,0,0,0,0,0
11625,5,285.0,0,0,0,0,0
11626,5,285.0,0,0,0,0,0
11627,5,285.0,0,0,0,0,0
11628,5,285.0,0,0,0,0,0
11629,5,285.0,0,0,0,0,0
11630,5,285.0,0,0,0,0,0
11631,5,285.0,0,0,0,0,0
11632,5,285.0,0,0,0,0,0
11633,5,285.0,0,0,0,0,0
11634,5,285.0,0,0,0,0,0
11635,5,285.0,0,0,0,0,0
11636,5,285.0,0,0,0,0,0
11637,5,285.0,0,0,0,0,0
11638,5,285.0,0,0,0,0,0
11639,5,285.0,0,0,0,0,0
11640,5,285.0,0,0,0,0,0
11641,5,285.0,0,0,0,0,0
11642,5,285.0,0,0,0,0,0
11643,5,285.0,0,0,0,0,0
11644,5,285.0,0,0,0,0,0
11645,5,285.0,0,0,0,0,0
11646,5,285.0,0,0,0,0,0
11647,5,285.0,0,0,0,0,0
11648,5,285.0,0,0,0,0,0
11649,5,285.0,0,0,0,0,0
11650,5,285.0,0,0,0,0,0
11651,5,285.0,0,0,0,0,0
11652,5,285.0,0,0,0,0,0
11653,5,285.0,0,0,0,0,0
11654,5,285.0,0,0,0,0,0
11655,5,285.0,0,0,0,0,0
11656,5,285.0,0,0,0,0,0
11657,5,285.0,0,0,0,0,0
11658,5,285.0,0,0,0,0,0
11659,5,285.0,0,0,0,0,0
11660,5,285.0,0,0,0,0,0
11661,5,285.0,0,0,0,0,0
11662,5,285.0,0,0,0,0,0
11663,5,285.0,0,0,0,0,0
11664,5,285.0,0,0,0,0,0
11665,5,285.0,0,0,0,0,0
11666,5,285.0,0,0,0,0,0
11667,5,285.0,0,0,0,0,0
11668,5,285.0,0,0,0,0,0
11669,5,285.0,0,0,0,0,0
11670,5,285.0,0,0,0,0,0
11671,5,285.0,0,0,0,0,0
11672,5,285.0,0,0,0,0,0
11673,5,285.0,0,0,0,0,0
11674,5,285.0,0,0,0,0,0
11675,5,285.0,0,0,0,0,0
11676,5,285.0,0,0,0,0,0
11677,5,285.0,0,0,0,0,0
11678,5,285.0,0,0,0,0,0
11679,5,285.0,0,0,0,0,0
11680,5,285.0,0,0,0,0,0
11681,5,285.0,0,0,0,0,0
11682,5,285.0,0,0,0,0,0
11683,5,285.0,0,0,0,0,0
11684,5,285.0,0,0,0,0,0
11685,5,285.0,0,0,0,0,0
11686,5,285.0,0,0,0,0,0
