Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Analog_Input_Change,Binary_Input_Change,Src_Port_Changed,Dst_Port_Changed
2815,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2816,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2817,3,18.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2818,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2819,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2820,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2821,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2822,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2823,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2824,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2825,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2826,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2827,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2828,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2829,4,17.75,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2830,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2831,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2832,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2833,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2834,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2835,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2836,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2837,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2838,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2839,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
