Window_Num,Num_Packets,Avg_Length,Flag_Ack,Flag_Retransmission,Flag_Reset,Flag_Syn,Flag_Fin,Src_Port_Changed,Dst_Port_Changed,Round_Trip_Time
2815,2,66,1,0,0,0,0,0,0,0.006812
2816,3,66,1,0,0,0,0,0,0,0.005203
2817,3,66,1,0,0,0,0,0,0,0.006
2818,3,66,1,0,0,0,0,0,0,0.000784
2819,2,66,1,0,0,0,0,0,0,0.000834
2820,3,66,1,0,0,0,0,0,0,0.000835
2821,2,66,1,0,0,0,0,0,0,0.001265
2822,3,66,1,0,0,0,0,0,0,0.000844
2823,2,66,1,0,0,0,0,0,0,0.000835
2824,2,66,1,0,0,0,0,0,0,0.000831
2825,3,66,1,0,0,0,0,0,0,0.000787
2826,2,66,1,0,0,0,0,0,0,0.003518
2827,3,66,1,0,0,0,0,0,0,0.000801
2828,2,66,1,0,0,0,0,0,0,0.000925
2829,4,66,1,0,0,0,0,0,0,0.001084
2830,2,66,1,0,0,0,0,0,0,0.000773
2831,3,66,1,0,0,0,0,0,0,0.000815
2832,2,66,1,0,0,0,0,0,0,0.00285
2833,3,66,1,0,0,0,0,0,0,0.002687
2834,2,66,1,0,0,0,0,0,0,0.001159
2835,3,66,1,0,0,0,0,0,0,0.000735
2836,2,66,1,0,0,0,0,0,0,0.001038
2837,3,66,1,0,0,0,0,0,0,0.001197
2838,2,66,1,0,0,0,0,0,0,0.002759
2839,3,66,1,0,0,0,0,0,0,0.003052
2840,2,66,1,0,0,0,0,0,0,0.002343
2841,4,66,1,0,0,0,0,0,0,0.001457
2842,2,66,1,0,0,0,0,0,0,0.000863
2843,3,66,1,0,0,0,0,0,0,0.000867
2844,2,66,1,0,0,0,0,0,0,0.007855
2845,3,66,1,0,0,0,0,0,0,0.00121
2846,2,66,1,0,0,0,0,0,0,0.000842
2847,3,66,1,0,0,0,0,0,0,0.001129
2848,2,66,1,0,0,0,0,0,0,0.002255
2849,3,66,1,0,0,0,0,0,0,0.000801
2850,2,66,1,0,0,0,0,0,0,0.006977
2851,3,66,1,0,0,0,0,0,0,0.003845
2852,2,66,1,0,0,0,0,0,0,0.001643
2853,4,66,1,0,0,0,0,0,0,0.000822
2854,2,66,1,0,0,0,0,0,0,0.000839
2855,2,66,1,0,0,0,0,0,0,0.00084
2856,3,66,1,0,0,0,0,0,0,0.000878
2857,2,66,1,0,0,0,0,0,0,0.00105
2858,3,66,1,0,0,0,0,0,0,0.000863
2859,2,66,1,0,0,0,0,0,0,0.000876
2860,3,66,1,0,0,0,0,0,0,0.001163
2861,2,66,1,0,0,0,0,0,0,0.003094
2862,3,66,1,0,0,0,0,0,0,0.001071
2863,2,66,1,0,0,0,0,0,0,0.000867
2864,3,66,1,0,0,0,0,0,0,0.002353
2865,3,66,1,0,0,0,0,0,0,0.001707
2866,3,66,1,0,0,0,0,0,0,0.002243
2867,2,66,1,0,0,0,0,0,0,0.001696
2868,3,66,1,0,0,0,0,0,0,0.003627
2869,2,66,1,0,0,0,0,0,0,0.004914
2870,3,66,1,0,0,0,0,0,0,0.001153
2871,2,66,1,0,0,0,0,0,0,0.000846
2872,3,66,1,0,0,0,0,0,0,0.000907
2873,2,66,1,0,0,0,0,0,0,0.001205
2874,3,66,1,0,0,0,0,0,0,0.000844
2875,2,66,1,0,0,0,0,0,0,0.001164
2876,3,66,1,0,0,0,0,0,0,0.000794
2877,3,66,1,0,0,0,0,0,0,0.000756
2878,3,66,1,0,0,0,0,0,0,0.001163
2879,2,66,1,0,0,0,0,0,0,0.002802
2880,3,66,1,0,0,0,0,0,0,0.000809
2881,2,66,1,0,0,0,0,0,0,0.000795
2882,3,66,1,0,0,0,0,0,0,0.00077
2883,2,66,1,0,0,0,0,0,0,0.002517
2884,3,66,1,0,0,0,0,0,0,0.000748
2885,2,66,1,0,0,0,0,0,0,0.010335
2886,2,66,1,0,0,0,0,0,0,0.004613
2887,3,66,1,0,0,0,0,0,0,0.00633
2888,2,66,1,0,0,0,0,0,0,0.001063
2889,4,66,1,0,0,0,0,0,0,0.00076
2890,2,66,1,0,0,0,0,0,0,0.00111
2891,3,66,1,0,0,0,0,0,0,0.003901
2892,2,66,1,0,0,0,0,0,0,0.004769
2893,3,66,1,0,0,0,0,0,0,0.003876
2894,2,66,1,0,0,0,0,0,0,0.000898
2895,3,66,1,0,0,0,0,0,0,0.000861
2896,2,66,1,0,0,0,0,0,0,0.001213
2897,3,66,1,0,0,0,0,0,0,0.00093
2898,2,66,1,0,0,0,0,0,0,0.001092
2899,3,66,1,0,0,0,0,0,0,0.00364
2900,2,66,1,0,0,0,0,0,0,0.000783
2901,4,66,1,0,0,0,0,0,0,0.001146
2902,2,66,1,0,0,0,0,0,0,0.00333
2903,3,66,1,0,0,0,0,0,0,0.003011
2904,2,66,1,0,0,0,0,0,0,0.001545
2905,3,66,1,0,0,0,0,0,0,0.000921
2906,2,66,1,0,0,0,0,0,0,0.001115
2907,3,66,1,0,0,0,0,0,0,0.001288
2908,2,66,1,0,0,0,0,0,0,0.00086
2909,3,66,1,0,0,0,0,0,0,0.001337
2910,2,66,1,0,0,0,0,0,0,0.000911
2911,3,66,1,0,0,0,0,0,0,0.00105
2912,2,66,1,0,0,0,0,0,0,0.000804
2913,4,66,1,0,0,0,0,0,0,0.000731
2914,2,66,1,0,0,0,0,0,0,0.006204
2915,3,66,1,0,0,0,0,0,0,0.006471
2916,2,66,1,0,0,0,0,0,0,0.001456
2917,2,66,1,0,0,0,0,0,0,0.006334
2918,3,66,1,0,0,0,0,0,0,0.002801
2919,2,66,1,0,0,0,0,0,0,0.001113
2920,3,66,1,0,0,0,0,0,0,0.007899
2921,2,66,1,0,0,0,0,0,0,0.001017
2922,3,66,1,0,0,0,0,0,0,0.00432
2923,2,66,1,0,0,0,0,0,0,0.000883
2924,3,66,1,0,0,0,0,0,0,0.011043
2925,3,66,1,0,0,0,0,0,0,0.000812
2926,3,66,1,0,0,0,0,0,0,0.001001
2927,2,66,1,0,0,0,0,0,0,0.001162
2928,3,66,1,0,0,0,0,0,0,0.000934
2929,2,66,1,0,0,0,0,0,0,0.001274
