Window_Num,Num_Packets,Avg_Length,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change,Num_Events
2815,2,134.0,0,0,0,0,0
2816,3,134.0,0,0,0,0,0
2817,2,134.0,0,0,0,0,0
2818,3,134.0,0,0,0,0,0
2819,2,134.0,0,0,0,0,0
2820,3,134.0,0,0,0,0,0
2821,2,134.0,0,0,0,0,0
2822,3,134.0,0,0,0,0,0
2823,2,134.0,0,0,0,0,0
2824,3,134.0,0,0,0,0,0
2825,2,134.0,0,0,0,0,0
2826,3,134.0,0,0,0,0,0
2827,2,134.0,0,0,0,0,0
2828,3,134.0,0,0,0,0,0
2829,2,134.0,0,0,0,0,0
2830,3,134.0,0,0,0,0,0
2831,2,134.0,0,0,0,0,0
2832,3,134.0,0,0,0,0,0
2833,2,134.0,0,0,0,0,0
2834,3,134.0,0,0,0,0,0
2835,2,134.0,0,0,0,0,0
2836,3,134.0,0,0,0,0,0
2837,2,134.0,0,0,0,0,0
2838,3,134.0,0,0,0,0,0
2839,2,134.0,0,0,0,0,0
2840,3,134.0,0,0,0,0,0
2841,2,134.0,0,0,0,0,0
2842,3,134.0,0,0,0,0,0
2843,2,134.0,0,0,0,0,0
2844,3,134.0,0,0,0,0,0
2845,2,134.0,0,0,0,0,0
2846,3,134.0,0,0,0,0,0
2847,2,134.0,0,0,0,0,0
2848,3,134.0,0,0,0,0,0
2849,2,134.0,0,0,0,0,0
2850,3,134.0,0,0,0,0,0
2851,2,134.0,0,0,0,0,0
2852,3,134.0,0,0,0,0,0
2853,2,134.0,0,0,0,0,0
2854,3,134.0,0,0,0,0,0
2855,2,134.0,0,0,0,0,0
2856,3,134.0,0,0,0,0,0
2857,2,134.0,0,0,0,0,0
2858,3,134.0,0,0,0,0,0
2859,2,134.0,0,0,0,0,0
2860,3,134.0,0,0,0,0,0
2861,2,134.0,0,0,0,0,0
2862,3,134.0,0,0,0,0,0
2863,2,134.0,0,0,0,0,0
2864,3,134.0,0,0,0,0,0
2865,2,134.0,0,0,0,0,0
2866,3,134.0,0,0,0,0,0
2867,2,134.0,0,0,0,0,0
2868,3,134.0,0,0,0,0,0
2869,2,134.0,0,0,0,0,0
2870,3,134.0,0,0,0,0,0
2871,2,134.0,0,0,0,0,0
2872,3,134.0,0,0,0,0,0
2873,2,134.0,0,0,0,0,0
2874,3,134.0,0,0,0,0,0
2875,2,134.0,0,0,0,0,0
2876,3,134.0,0,0,0,0,0
2877,2,134.0,0,0,0,0,0
2878,3,134.0,0,0,0,0,0
2879,2,134.0,0,0,0,0,0
2880,3,134.0,0,0,0,0,0
2881,2,134.0,0,0,0,0,0
2882,3,134.0,0,0,0,0,0
2883,2,134.0,0,0,0,0,0
