Window_Num,Num_Packets,Avg_Length,Flag_Ack,Flag_Retransmission,Flag_Reset,Flag_Syn,Flag_Fin,Src_Port_Changed,Dst_Port_Changed,Round_Trip_Time
1015,3,66.0,1,0,0,0,0,0,0,0.010499
1016,2,66.0,1,0,0,0,0,0,0,0.001723
1017,3,66.0,1,0,0,0,0,0,0,0.002136
1018,2,66.0,1,0,0,0,0,0,0,0.000818
1019,3,66.0,1,0,0,0,0,0,0,0.000932
1020,2,66.0,1,0,0,0,0,0,0,0.000816
1021,4,66.0,1,0,0,0,0,0,0,0.000932
1022,2,66.0,1,0,0,0,0,0,0,0.001141
1023,2,66.0,1,0,0,0,0,0,0,0.000934
1024,3,66.0,1,0,0,0,0,0,0,0.002635
1025,2,66.0,1,0,0,0,0,0,0,0.00183
1026,3,66.0,1,0,0,0,0,0,0,0.000804
1027,2,66.0,1,0,0,0,0,0,0,0.001253
1028,3,66.0,1,0,0,0,0,0,0,0.000733
1029,2,66.0,1,0,0,0,0,0,0,0.002834
1030,3,66.0,1,0,0,0,0,0,0,0.001091
1031,2,66.0,1,0,0,0,0,0,0,0.000784
1032,3,66.0,1,0,0,0,0,0,0,0.000928
1033,3,66.0,1,0,0,0,0,0,0,0.002007
1034,3,66.0,1,0,0,0,0,0,0,0.000849
1035,2,66.0,1,0,0,0,0,0,0,0.001339
1036,3,66.0,1,0,0,0,0,0,0,0.000847
1037,2,66.0,1,0,0,0,0,0,0,0.003428
1038,3,66.0,1,0,0,0,0,0,0,0.002308
1039,2,66.0,1,0,0,0,0,0,0,0.000888
1040,3,66.0,1,0,0,0,0,0,0,0.001162
1041,2,66.0,1,0,0,0,0,0,0,0.006855
1042,3,66.0,1,0,0,0,0,0,0,0.000834
1043,2,66.0,1,0,0,0,0,0,0,0.004062
1044,3,66.0,1,0,0,0,0,0,0,0.000826
1045,3,66.0,1,0,0,0,0,0,0,0.001002
1046,3,66.0,1,0,0,0,0,0,0,0.001135
1047,2,66.0,1,0,0,0,0,0,0,0.00089
1048,3,66.0,1,0,0,0,0,0,0,0.000925
1049,2,66.0,1,0,0,0,0,0,0,0.002026
1050,3,66.0,1,0,0,0,0,0,0,0.00106
