Window_Num,Num_Packets,Avg_Length,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change,Num_Events
1015,2,133.0,0,0,0,0,0
1016,3,133.0,0,0,0,0,0
1017,2,133.0,0,0,0,0,0
1018,3,133.0,0,0,0,0,0
1019,2,133.0,0,0,0,0,0
1020,3,133.0,0,0,0,0,0
1021,2,133.0,0,0,0,0,0
1022,3,133.0,0,0,0,0,0
1023,2,133.0,0,0,0,0,0
1024,3,133.0,0,0,0,0,0
1025,2,133.0,0,0,0,0,0
1026,3,133.0,0,0,0,0,0
1027,2,133.0,0,0,0,0,0
1028,3,133.0,0,0,0,0,0
1029,2,133.0,0,0,0,0,0
1030,3,133.0,0,0,0,0,0
1031,2,133.0,0,0,0,0,0
1032,3,133.0,0,0,0,0,0
1033,2,133.0,0,0,0,0,0
1034,3,133.0,0,0,0,0,0
1035,2,134.0,0,0,0,0,0
1036,3,134.0,0,0,0,0,0
1037,2,134.0,0,0,0,0,0
1038,3,134.0,0,0,0,0,0
1039,2,134.0,0,0,0,0,0
1040,3,134.0,0,0,0,0,0
1041,2,134.0,0,0,0,0,0
1042,3,134.0,0,0,0,0,0
1043,2,134.0,0,0,0,0,0
1044,3,134.0,0,0,0,0,0
1045,2,134.0,0,0,0,0,0
1046,3,134.0,0,0,0,0,0
1047,2,134.0,0,0,0,0,0
1048,3,134.0,0,0,0,0,0
1049,2,134.0,0,0,0,0,0
1050,3,134.0,0,0,0,0,0
1051,2,134.0,0,0,0,0,0
1052,3,134.0,0,0,0,0,0
1053,2,134.0,0,0,0,0,0
1054,3,134.0,0,0,0,0,0
1055,2,134.0,0,0,0,0,0
1056,3,134.0,0,0,0,0,0
1057,2,134.0,0,0,0,0,0
1058,3,134.0,0,0,0,0,0
1059,2,134.0,0,0,0,0,0
1060,3,134.0,0,0,0,0,0
1061,2,134.0,0,0,0,0,0
1062,3,134.0,0,0,0,0,0
1063,2,134.0,0,0,0,0,0
1064,3,134.0,0,0,0,0,0
1065,2,134.0,0,0,0,0,0
1066,3,134.0,0,0,0,0,0
1067,2,134.0,0,0,0,0,0
1068,3,134.0,0,0,0,0,0
1069,2,134.0,0,0,0,0,0
1070,3,134.0,0,0,0,0,0
1071,2,134.0,0,0,0,0,0
1072,3,134.0,0,0,0,0,0
1073,2,134.0,0,0,0,0,0
1074,3,134.0,0,0,0,0,0
1075,2,134.0,0,0,0,0,0
1076,3,134.0,0,0,0,0,0
1077,2,134.0,0,0,0,0,0
1078,3,134.0,0,0,0,0,0
1079,2,134.0,0,0,0,0,0
1080,3,134.0,0,0,0,0,0
1081,2,134.0,0,0,0,0,0
1082,3,134.0,0,0,0,0,0
1083,2,134.0,0,0,0,0,0
1084,3,134.0,0,0,0,0,0
1085,2,134.0,0,0,0,0,0
1086,3,134.0,0,0,0,0,0
1087,2,134.0,0,0,0,0,0
1088,3,134.0,0,0,0,0,0
1089,2,134.0,0,0,0,0,0
1090,3,134.0,0,0,0,0,0
1091,2,134.0,0,0,0,0,0
1092,3,134.0,0,0,0,0,0
1093,2,134.0,0,0,0,0,0
1094,3,134.0,0,0,0,0,0
1095,2,134.0,0,0,0,0,0
1096,3,134.0,0,0,0,0,0
1097,2,134.0,0,0,0,0,0
1098,3,134.0,0,0,0,0,0
1099,2,134.0,0,0,0,0,0
1100,3,134.0,0,0,0,0,0
1101,2,134.0,0,0,0,0,0
1102,3,134.0,0,0,0,0,0
1103,2,134.0,0,0,0,0,0
1104,3,134.0,0,0,0,0,0
1105,2,134.0,0,0,0,0,0
1106,3,134.0,0,0,0,0,0
1107,2,134.0,0,0,0,0,0
1108,3,134.0,0,0,0,0,0
1109,2,134.0,0,0,0,0,0
1110,3,134.0,0,0,0,0,0
1111,2,134.0,0,0,0,0,0
1112,3,134.0,0,0,0,0,0
1113,2,134.0,0,0,0,0,0
1114,3,134.0,0,0,0,0,0
1115,2,134.0,0,0,0,0,0
1116,3,134.0,0,0,0,0,0
1117,2,134.0,0,0,0,0,0
1118,3,134.0,0,0,0,0,0
1119,2,134.0,0,0,0,0,0
1120,3,134.0,0,0,0,0,0
1121,2,134.0,0,0,0,0,0
1122,3,134.0,0,0,0,0,0
1123,2,134.0,0,0,0,0,0
1124,3,134.0,0,0,0,0,0
1125,2,134.0,0,0,0,0,0
1126,3,134.0,0,0,0,0,0
1127,2,134.0,0,0,0,0,0
1128,3,134.0,0,0,0,0,0
1129,2,134.0,0,0,0,0,0
1130,3,134.0,0,0,0,0,0
1131,2,134.0,0,0,0,0,0
1132,3,134.0,0,0,0,0,0
1133,2,134.0,0,0,0,0,0
1134,3,134.0,0,0,0,0,0
1135,2,134.0,0,0,0,0,0
1136,3,134.0,0,0,0,0,0
1137,2,134.0,0,0,0,0,0
1138,3,134.0,0,0,0,0,0
1139,2,134.0,0,0,0,0,0
1140,3,134.0,0,0,0,0,0
1141,2,134.0,0,0,0,0,0
1142,3,134.0,0,0,0,0,0
1143,2,134.0,0,0,0,0,0
1144,3,134.0,0,0,0,0,0
1145,2,134.0,0,0,0,0,0
1146,3,134.0,0,0,0,0,0
1147,2,134.0,0,0,0,0,0
1148,3,134.0,0,0,0,0,0
1149,2,134.0,0,0,0,0,0
1150,3,134.0,0,0,0,0,0
1151,2,134.0,0,0,0,0,0
1152,3,134.0,0,0,0,0,0
1153,2,134.0,0,0,0,0,0
1154,3,134.0,0,0,0,0,0
1155,2,134.0,0,0,0,0,0
1156,3,134.0,0,0,0,0,0
1157,2,134.0,0,0,0,0,0
1158,3,134.0,0,0,0,0,0
1159,2,134.0,0,0,0,0,0
1160,3,134.0,0,0,0,0,0
1161,2,134.0,0,0,0,0,0
1162,3,134.0,0,0,0,0,0
1163,2,134.0,0,0,0,0,0
1164,3,134.0,0,0,0,0,0
1165,2,134.0,0,0,0,0,0
1166,3,134.0,0,0,0,0,0
1167,2,134.0,0,0,0,0,0
1168,3,134.0,0,0,0,0,0
1169,2,134.0,0,0,0,0,0
1170,3,134.0,0,0,0,0,0
1171,2,134.0,0,0,0,0,0
1172,3,134.0,0,0,0,0,0
1173,2,134.0,0,0,0,0,0
1174,3,134.0,0,0,0,0,0
1175,2,134.0,0,0,0,0,0
1176,3,134.0,0,0,0,0,0
1177,2,134.0,0,0,0,0,0
1178,3,134.0,0,0,0,0,0
1179,2,134.0,0,0,0,0,0
