Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Data_Object_Change,Src_Port_Changed,Dst_Port_Changed
6341,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6342,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6343,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6344,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6345,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6346,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6347,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6348,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6349,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6350,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6351,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6352,3,18.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6353,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6354,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6355,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6356,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6357,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6358,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6359,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6360,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6361,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6362,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6363,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6364,4,17.75,0,4,0,0,0,0,0,0,0,0,0,0,0,0
6365,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6366,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6367,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6368,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6369,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6370,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6371,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6372,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6373,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6374,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6375,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6376,4,17.75,0,4,0,0,0,0,0,0,0,0,0,0,0,0
6377,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6378,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6379,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6380,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6381,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6382,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6383,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6384,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6385,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6386,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6387,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6388,3,18.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6389,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6390,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6391,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6392,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6393,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6394,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6395,3,17.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
6396,2,17.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
