Window_Num,Num_Packets,Avg_Length,Num_Streams,Flag_Ack,Flag_Retransmission,Flag_Reset,Flag_Syn,Flag_Fin,Src_Port_Changed,Dst_Port_Changed,Round_Trip_Time
6341,3,66.0,1,1,0,0,0,0,0,0,0.001405
6342,2,66.0,1,1,0,0,0,0,0,0,0.000727
6343,3,66.0,1,1,0,0,0,0,0,0,0.00092
6344,2,66.0,1,1,0,0,0,0,0,0,0.000778
6345,3,66.0,1,1,0,0,0,0,0,0,0.002328
6346,2,66.0,1,1,0,0,0,0,0,0,0.001056
6347,3,66.0,1,1,0,0,0,0,0,0,0.000748
6348,2,66.0,1,1,0,0,0,0,0,0,0.000841
6349,3,66.0,1,1,0,0,0,0,0,0,0.004517
6350,2,66.0,1,1,0,0,0,0,0,0,0.00357
6351,3,66.0,1,1,0,0,0,0,0,0,0.010094
6352,3,66.0,1,1,0,0,0,0,0,0,0.005426
6353,3,66.0,1,1,0,0,0,0,0,0,0.005295
6354,2,66.0,1,1,0,0,0,0,0,0,0.004162
6355,3,66.0,1,1,0,0,0,0,0,0,0.000798
6356,2,66.0,1,1,0,0,0,0,0,0,0.006093
6357,2,66.0,1,1,0,0,0,0,0,0,0.000802
6358,3,66.0,1,1,0,0,0,0,0,0,0.000771
6359,2,66.0,1,1,0,0,0,0,0,0,0.001701
6360,3,66.0,1,1,0,0,0,0,0,0,0.000867
6361,2,66.0,1,1,0,0,0,0,0,0,0.000833
6362,3,66.0,1,1,0,0,0,0,0,0,0.00108
6363,2,66.0,1,1,0,0,0,0,0,0,0.000947
6364,4,66.0,1,1,0,0,0,0,0,0,0.00098
6365,2,66.0,1,1,0,0,0,0,0,0,0.001294
6366,3,66.0,1,1,0,0,0,0,0,0,0.000837
6367,2,66.0,1,1,0,0,0,0,0,0,0.001142
6368,3,66.0,1,1,0,0,0,0,0,0,0.005561
6369,2,66.0,1,1,0,0,0,0,0,0,0.012118
6370,3,66.0,1,1,0,0,0,0,0,0,0.004383
6371,2,66.0,1,1,0,0,0,0,0,0,0.006414
6372,3,66.0,1,1,0,0,0,0,0,0,0.000821
6373,2,66.0,1,1,0,0,0,0,0,0,0.00134
6374,3,66.0,1,1,0,0,0,0,0,0,0.000841
6375,2,66.0,1,1,0,0,0,0,0,0,0.001117
6376,4,66.0,1,1,0,0,0,0,0,0,0.001196
6377,2,66.0,1,1,0,0,0,0,0,0,0.000833
6378,3,66.0,1,1,0,0,0,0,0,0,0.003305
6379,2,66.0,1,1,0,0,0,0,0,0,0.001216
6380,3,66.0,1,1,0,0,0,0,0,0,0.004404
6381,2,66.0,1,1,0,0,0,0,0,0,0.00216
6382,3,66.0,1,1,0,0,0,0,0,0,0.000903
6383,2,66.0,1,1,0,0,0,0,0,0,0.001142
6384,3,66.0,1,1,0,0,0,0,0,0,0.001216
6385,2,66.0,1,1,0,0,0,0,0,0,0.000794
6386,3,66.0,1,1,0,0,0,0,0,0,0.003105
6387,2,66.0,1,1,0,0,0,0,0,0,0.008664
6388,3,66.0,1,1,0,0,0,0,0,0,0.00364
6389,3,66.0,1,1,0,0,0,0,0,0,0.002669
6390,2,66.0,1,1,0,0,0,0,0,0,0.000813
6391,3,66.0,1,1,0,0,0,0,0,0,0.001058
6392,2,66.0,1,1,0,0,0,0,0,0,0.000781
6393,3,66.0,1,1,0,0,0,0,0,0,0.000858
6394,2,66.0,1,1,0,0,0,0,0,0,0.001594
6395,3,66.0,1,1,0,0,0,0,0,0,0.000748
6396,2,66.0,1,1,0,0,0,0,0,0,0.001122
6397,3,66.0,1,1,0,0,0,0,0,0,0.001228
6398,2,66.0,1,1,0,0,0,0,0,0,0.00078
6399,3,66.0,1,1,0,0,0,0,0,0,0.001211
6400,3,66.0,1,1,0,0,0,0,0,0,0.000782
6401,3,66.0,1,1,0,0,0,0,0,0,0.001055
6402,2,66.0,1,1,0,0,0,0,0,0,0.002035
6403,3,66.0,1,1,0,0,0,0,0,0,0.000855
6404,2,66.0,1,1,0,0,0,0,0,0,0.003476
6405,3,66.0,1,1,0,0,0,0,0,0,0.001918
6406,2,66.0,1,1,0,0,0,0,0,0,0.002829
6407,3,66.0,1,1,0,0,0,0,0,0,0.00335
6408,2,66.0,1,1,0,0,0,0,0,0,0.002828
6409,3,66.0,1,1,0,0,0,0,0,0,0.003726
6410,2,66.0,1,1,0,0,0,0,0,0,0.002715
6411,3,66.0,1,1,0,0,0,0,0,0,0.002706
6412,3,66.0,1,1,0,0,0,0,0,0,0.001155
6413,3,66.0,1,1,0,0,0,0,0,0,0.001162
6414,2,66.0,1,1,0,0,0,0,0,0,0.000819
6415,3,66.0,1,1,0,0,0,0,0,0,0.001145
6416,2,66.0,1,1,0,0,0,0,0,0,0.003144
6417,3,66.0,1,1,0,0,0,0,0,0,0.000941
6418,2,66.0,1,1,0,0,0,0,0,0,0.001155
6419,2,66.0,1,1,0,0,0,0,0,0,0.000829
6420,3,66.0,1,1,0,0,0,0,0,0,0.001108
6421,2,66.0,1,1,0,0,0,0,0,0,0.000843
6422,3,66.0,1,1,0,0,0,0,0,0,0.003096
6423,2,66.0,1,1,0,0,0,0,0,0,0.002131
6424,4,66.0,1,1,0,0,0,0,0,0,0.002008
6425,2,66.0,1,1,0,0,0,0,0,0,0.001082
6426,3,66.0,1,1,0,0,0,0,0,0,0.001285
6427,2,66.0,1,1,0,0,0,0,0,0,0.000901
6428,3,66.0,1,1,0,0,0,0,0,0,0.000976
6429,2,66.0,1,1,0,0,0,0,0,0,0.000783
6430,3,66.0,1,1,0,0,0,0,0,0,0.001068
6431,2,66.0,1,1,0,0,0,0,0,0,0.001321
6432,3,66.0,1,1,0,0,0,0,0,0,0.000896
6433,2,66.0,1,1,0,0,0,0,0,0,0.005343
6434,3,66.0,1,1,0,0,0,0,0,0,0.010183
6435,2,66.0,1,1,0,0,0,0,0,0,0.003616
6436,4,66.0,1,1,0,0,0,0,0,0,0.003261
6437,2,66.0,1,1,0,0,0,0,0,0,0.006103
6438,3,66.0,1,1,0,0,0,0,0,0,0.006389
6439,2,66.0,1,1,0,0,0,0,0,0,0.001508
6440,3,66.0,1,1,0,0,0,0,0,0,0.056434
6441,2,66.0,1,1,0,0,0,0,0,0,0.005979
6442,3,66.0,1,1,0,0,0,0,0,0,0.001289
6443,2,66.0,1,1,0,0,0,0,0,0,0.000916
6444,3,66.0,1,1,0,0,0,0,0,0,0.000973
6445,2,66.0,1,1,0,0,0,0,0,0,0.00144
6446,3,66.0,1,1,0,0,0,0,0,0,0.000825
6447,2,66.0,1,1,0,0,0,0,0,0,0.003185
6448,4,66.0,1,1,0,0,0,0,0,0,0.000846
6449,2,66.0,1,1,0,0,0,0,0,0,0.000807
6450,2,66.0,1,1,0,0,0,0,0,0,0.000734
6451,3,66.0,1,1,0,0,0,0,0,0,0.002545
6452,2,66.0,1,1,0,0,0,0,0,0,0.001172
6453,3,66.0,1,1,0,0,0,0,0,0,0.000746
6454,2,66.0,1,1,0,0,0,0,0,0,0.001055
6455,3,66.0,1,1,0,0,0,0,0,0,0.002076
6456,2,66.0,1,1,0,0,0,0,0,0,0.001021
6457,3,66.0,1,1,0,0,0,0,0,0,0.00544
6458,2,66.0,1,1,0,0,0,0,0,0,0.003696
6459,3,66.0,1,1,0,0,0,0,0,0,0.000866
6460,2,66.0,1,1,0,0,0,0,0,0,0.001271
6461,3,66.0,1,1,0,0,0,0,0,0,0.000846
6462,2,66.0,1,1,0,0,0,0,0,0,0.003393
6463,3,66.0,1,1,0,0,0,0,0,0,0.002224
6464,2,66.0,1,1,0,0,0,0,0,0,0.001323
6465,3,66.0,1,1,0,0,0,0,0,0,0.003801
6466,2,66.0,1,1,0,0,0,0,0,0,0.000698
6467,3,66.0,1,1,0,0,0,0,0,0,0.00083
6468,2,66.0,1,1,0,0,0,0,0,0,0.001151
6469,3,66.0,1,1,0,0,0,0,0,0,0.000846
6470,2,66.0,1,1,0,0,0,0,0,0,0.000787
6471,3,66.0,1,1,0,0,0,0,0,0,0.001053
6472,3,66.0,1,1,0,0,0,0,0,0,0.000873
6473,3,66.0,1,1,0,0,0,0,0,0,0.000804
6474,2,66.0,1,1,0,0,0,0,0,0,0.001178
6475,3,66.0,1,1,0,0,0,0,0,0,0.004922
6476,2,66.0,1,1,0,0,0,0,0,0,0.003395
6477,3,66.0,1,1,0,0,0,0,0,0,0.006931
6478,2,66.0,1,1,0,0,0,0,0,0,0.000817
6479,3,66.0,1,1,0,0,0,0,0,0,0.001008
6480,2,66.0,1,1,0,0,0,0,0,0,0.000722
6481,2,66.0,1,1,0,0,0,0,0,0,0.001031
6482,3,66.0,1,1,0,0,0,0,0,0,0.001148
