Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Data_Object_Change,Src_Port_Changed,Dst_Port_Changed
10693,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10694,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10695,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10696,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10697,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10698,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10699,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10700,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10701,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10702,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10703,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10704,6,23.17,0,0,0,0,0,0,0,0,4,2,0,0,0,0
10705,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10706,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10707,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10708,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10709,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10710,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10711,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10712,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10713,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10714,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10715,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10716,7,21.29,0,0,0,0,0,0,0,0,4,3,0,0,0,0
10717,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10718,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10719,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10720,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10721,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10722,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10723,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10724,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10725,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10726,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10727,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10728,7,21.29,0,0,0,0,0,0,0,0,4,3,0,0,0,0
10729,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10730,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10731,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10732,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10733,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10734,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10735,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10736,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10737,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10738,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10739,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10740,5,25.8,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10741,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10742,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10743,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10744,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10745,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10746,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10747,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10748,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10749,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10750,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10751,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10752,5,25.8,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10753,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10754,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10755,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10756,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10757,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10758,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10759,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10760,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10761,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10762,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10763,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10764,6,23.17,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10765,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10766,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10767,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10768,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10769,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10770,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10771,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10772,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10773,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10774,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10775,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10776,7,21.29,0,0,0,0,0,0,0,0,4,3,0,0,0,0
10777,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10778,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10779,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10780,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10781,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10782,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10783,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10784,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10785,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10786,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10787,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10788,6,23.17,0,0,0,0,0,0,0,0,4,2,0,0,0,0
10789,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10790,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10791,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10792,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10793,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10794,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10795,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10796,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10797,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10798,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10799,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10800,5,25.8,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10801,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10802,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10803,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10804,5,10.0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
10805,5,10.0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
10806,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
10807,6,10.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
10808,4,10.0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
