Window_Num,Num_Packets,Avg_Length,Num_Streams,Flag_Ack,Flag_Retransmission,Flag_Reset,Flag_Syn,Flag_Fin,Src_Port_Changed,Dst_Port_Changed,Round_Trip_Time
10693,6,66.0,1,1,0,0,0,0,0,0,2.1e-05
10694,4,66.0,1,1,0,0,0,0,0,0,1e-05
10695,6,66.0,1,1,0,0,0,0,0,0,1e-05
10696,4,66.0,1,1,0,0,0,0,0,0,3e-05
10697,5,66.0,1,1,0,0,0,0,0,0,1e-05
10698,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
10699,5,66.0,1,1,0,0,0,0,0,0,1e-05
10700,4,66.0,1,1,0,0,0,0,0,0,2.2e-05
10701,6,66.0,1,1,0,0,0,0,0,0,1e-05
10702,4,66.0,1,1,0,0,0,0,0,0,2.9e-05
10703,5,66.0,1,1,0,0,0,0,0,0,1.4e-05
10704,6,66.0,1,1,0,0,0,0,0,0,1.1e-05
10705,4,66.0,1,1,0,0,0,0,0,0,0.040869
10706,6,66.0,1,1,0,0,0,0,0,0,2.6e-05
10707,4,66.0,1,1,0,0,0,0,0,0,1.2e-05
10708,6,66.0,1,1,0,0,0,0,0,0,2.6e-05
10709,4,66.0,1,1,0,0,0,0,0,0,2.4e-05
10710,6,66.0,1,1,0,0,0,0,0,0,1.2e-05
10711,4,66.0,1,1,0,0,0,0,0,0,3.3e-05
10712,5,66.0,1,1,0,0,0,0,0,0,1e-05
10713,5,66.0,1,1,0,0,0,0,0,0,1.1e-05
10714,5,66.0,1,1,0,0,0,0,0,0,3.2e-05
10715,4,66.0,1,1,0,0,0,0,0,0,2.3e-05
10716,7,66.0,1,1,0,0,0,0,0,0,9e-06
10717,4,66.0,1,1,0,0,0,0,0,0,2.2e-05
10718,6,66.0,1,1,0,0,0,0,0,0,1.2e-05
10719,4,66.0,1,1,0,0,0,0,0,0,5.6e-05
10720,5,66.0,1,1,0,0,0,0,0,0,2.5e-05
10721,5,66.0,1,1,0,0,0,0,0,0,1.2e-05
10722,5,66.0,1,1,0,0,0,0,0,0,3e-05
10723,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
10724,5,66.0,1,1,0,0,0,0,0,0,2.6e-05
10725,4,66.0,1,1,0,0,0,0,0,0,2.9e-05
10726,6,66.0,1,1,0,0,0,0,0,0,9e-06
10727,4,66.0,1,1,0,0,0,0,0,0,1e-05
10728,7,66.0,1,1,0,0,0,0,0,0,9e-06
10729,4,66.0,1,1,0,0,0,0,0,0,2.5e-05
10730,5,66.0,1,1,0,0,0,0,0,0,2.5e-05
10731,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
10732,5,66.0,1,1,0,0,0,0,0,0,9e-06
10733,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
10734,4,66.0,1,1,0,0,0,0,0,0,2.6e-05
10735,5,66.0,1,1,0,0,0,0,0,0,1.2e-05
10736,5,66.0,1,1,0,0,0,0,0,0,1.4e-05
10737,5,66.0,1,1,0,0,0,0,0,0,8e-06
10738,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
10739,5,66.0,1,1,0,0,0,0,0,0,1e-05
10740,5,66.0,1,1,0,0,0,0,0,0,9e-06
10741,6,66.0,1,1,0,0,0,0,0,0,2.6e-05
10742,4,66.0,1,1,0,0,0,0,0,0,2.5e-05
10743,6,66.0,1,1,0,0,0,0,0,0,1.3e-05
10744,4,66.0,1,1,0,0,0,0,0,0,3.3e-05
10745,5,66.0,1,1,0,0,0,0,0,0,9e-06
10746,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
10747,5,66.0,1,1,0,0,0,0,0,0,2.8e-05
10748,4,66.0,1,1,0,0,0,0,0,0,2.4e-05
10749,6,66.0,1,1,0,0,0,0,0,0,2.5e-05
10750,4,66.0,1,1,0,0,0,0,0,0,9e-06
10751,6,66.0,1,1,0,0,0,0,0,0,0.040555
10752,5,66.0,1,1,0,0,0,0,0,0,9e-06
10753,6,66.0,1,1,0,0,0,0,0,0,2.6e-05
10754,4,66.0,1,1,0,0,0,0,0,0,1.5e-05
10755,5,66.0,1,1,0,0,0,0,0,0,9e-06
10756,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
10757,5,66.0,1,1,0,0,0,0,0,0,2.9e-05
10758,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
10759,5,66.0,1,1,0,0,0,0,0,0,9e-06
10760,4,66.0,1,1,0,0,0,0,0,0,1e-05
10761,6,66.0,1,1,0,0,0,0,0,0,9e-06
10762,4,66.0,1,1,0,0,0,0,0,0,3.1e-05
10763,5,66.0,1,1,0,0,0,0,0,0,2.6e-05
10764,6,66.0,1,1,0,0,0,0,0,0,1.5e-05
10765,4,66.0,1,1,0,0,0,0,0,0,1.2e-05
10766,6,66.0,1,1,0,0,0,0,0,0,3.1e-05
10767,4,66.0,1,1,0,0,0,0,0,0,3e-05
10768,5,66.0,1,1,0,0,0,0,0,0,7e-06
10769,5,66.0,1,1,0,0,0,0,0,0,2.5e-05
10770,5,66.0,1,1,0,0,0,0,0,0,9e-06
10771,5,66.0,1,1,0,0,0,0,0,0,5.1e-05
10772,5,66.0,1,1,0,0,0,0,0,0,5.1e-05
10773,4,66.0,1,1,0,0,0,0,0,0,9e-06
10774,6,66.0,1,1,0,0,0,0,0,0,2.2e-05
10775,4,66.0,1,1,0,0,0,0,0,0,9e-06
10776,7,66.0,1,1,0,0,0,0,0,0,2.6e-05
10777,4,66.0,1,1,0,0,0,0,0,0,1.2e-05
10778,5,66.0,1,1,0,0,0,0,0,0,2.6e-05
10779,5,66.0,1,1,0,0,0,0,0,0,1.2e-05
10780,5,66.0,1,1,0,0,0,0,0,0,1e-05
10781,5,66.0,1,1,0,0,0,0,0,0,1.4e-05
10782,5,66.0,1,1,0,0,0,0,0,0,2.6e-05
10783,4,66.0,1,1,0,0,0,0,0,0,1e-05
10784,6,66.0,1,1,0,0,0,0,0,0,1e-05
10785,4,66.0,1,1,0,0,0,0,0,0,0.040333
10786,6,66.0,1,1,0,0,0,0,0,0,2.6e-05
10787,4,66.0,1,1,0,0,0,0,0,0,5.7e-05
10788,6,66.0,1,1,0,0,0,0,0,0,1.3e-05
10789,5,66.0,1,1,0,0,0,0,0,0,3.1e-05
10790,5,66.0,1,1,0,0,0,0,0,0,2.6e-05
10791,5,66.0,1,1,0,0,0,0,0,0,1.3e-05
10792,5,66.0,1,1,0,0,0,0,0,0,2.3e-05
10793,4,66.0,1,1,0,0,0,0,0,0,9e-06
10794,6,66.0,1,1,0,0,0,0,0,0,9e-06
10795,4,66.0,1,1,0,0,0,0,0,0,1e-05
