Window_Num,Num_Packets,Avg_Length,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change
10693,2,134.0,0,0,0,0
10694,3,134.0,0,0,0,0
10695,2,134.0,0,0,0,0
10696,3,134.0,0,0,0,0
10697,2,134.0,0,0,0,0
10698,3,134.0,0,0,0,0
10699,2,134.0,0,0,0,0
10700,3,134.0,0,0,0,0
10701,2,134.0,0,0,0,0
10702,3,134.0,0,0,0,0
10703,2,134.0,0,0,0,0
10704,3,134.0,0,0,0,0
10705,2,134.0,0,0,0,0
10706,3,134.0,0,0,0,0
10707,2,134.0,0,0,0,0
10708,3,134.0,0,0,0,0
10709,2,134.0,0,0,0,0
10710,3,134.0,0,0,0,0
10711,2,134.0,0,0,0,0
10712,3,134.0,0,0,0,0
10713,2,134.0,0,0,0,0
10714,3,134.0,0,0,0,0
10715,2,134.0,0,0,0,0
10716,3,134.0,0,0,0,0
10717,2,134.0,0,0,0,0
10718,3,134.0,0,0,0,0
10719,2,134.0,0,0,0,0
10720,3,134.0,0,0,0,0
10721,2,134.0,0,0,0,0
10722,3,134.0,0,0,0,0
10723,2,134.0,0,0,0,0
10724,3,134.0,0,0,0,0
10725,2,134.0,0,0,0,0
10726,3,134.0,0,0,0,0
10727,2,134.0,0,0,0,0
10728,3,134.0,0,0,0,0
10729,2,134.0,0,0,0,0
10730,3,134.0,0,0,0,0
10731,2,134.0,0,0,0,0
10732,3,134.0,0,0,0,0
10733,2,134.0,0,0,0,0
10734,3,134.0,0,0,0,0
10735,2,134.0,0,0,0,0
10736,3,134.0,0,0,0,0
10737,2,134.0,0,0,0,0
10738,3,134.0,0,0,0,0
10739,2,134.0,0,0,0,0
10740,3,134.0,0,0,0,0
10741,2,134.0,0,0,0,0
10742,3,134.0,0,0,0,0
10743,2,134.0,0,0,0,0
10744,3,134.0,0,0,0,0
10745,2,134.0,0,0,0,0
10746,3,134.0,0,0,0,0
10747,2,134.0,0,0,0,0
10748,3,134.0,0,0,0,0
10749,2,134.0,0,0,0,0
10750,3,134.0,0,0,0,0
10751,2,134.0,0,0,0,0
10752,3,134.0,0,0,0,0
10753,2,134.0,0,0,0,0
10754,3,134.0,0,0,0,0
10755,2,134.0,0,0,0,0
10756,3,134.0,0,0,0,0
10757,2,134.0,0,0,0,0
10758,3,134.0,0,0,0,0
10759,2,134.0,0,0,0,0
10760,3,134.0,0,0,0,0
10761,2,134.0,0,0,0,0
10762,3,134.0,0,0,0,0
10763,2,134.0,0,0,0,0
10764,3,134.0,0,0,0,0
10765,2,134.0,0,0,0,0
10766,3,134.0,0,0,0,0
10767,2,134.0,0,0,0,0
10768,3,134.0,0,0,0,0
10769,2,134.0,0,0,0,0
10770,3,134.0,0,0,0,0
10771,2,134.0,0,0,0,0
10772,3,134.0,0,0,0,0
10773,2,134.0,0,0,0,0
10774,3,134.0,0,0,0,0
10775,2,134.0,0,0,0,0
10776,3,134.0,0,0,0,0
10777,2,134.0,0,0,0,0
10778,3,134.0,0,0,0,0
10779,2,134.0,0,0,0,0
10780,3,134.0,0,0,0,0
10781,2,134.0,0,0,0,0
10782,3,134.0,0,0,0,0
10783,2,134.0,0,0,0,0
10784,3,134.0,0,0,0,0
10785,2,134.0,0,0,0,0
10786,3,134.0,0,0,0,0
10787,2,134.0,0,0,0,0
10788,3,134.0,0,0,0,0
10789,2,134.0,0,0,0,0
10790,3,134.0,0,0,0,0
10791,2,134.0,0,0,0,0
