Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Analog_Input_Change,Binary_Input_Change,Src_Port_Changed,Dst_Port_Changed,Label
1,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
2,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
3,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
4,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
5,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
6,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
7,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
8,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
9,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
10,3,36.33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
11,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
12,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
13,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
14,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
15,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
16,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
17,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
18,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
19,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
20,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
21,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
22,3,36.33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
23,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
24,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
25,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
26,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
27,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
28,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
29,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
30,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
31,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
32,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
33,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
34,3,36.33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
35,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
36,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
37,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
38,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
39,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
40,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
41,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
42,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
43,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
44,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
45,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
46,4,29.75,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,
47,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
48,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
49,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
50,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
51,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
52,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
53,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
54,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
55,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
56,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
57,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
58,4,29.75,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,
59,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
60,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
61,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
62,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
63,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
64,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
65,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
66,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
67,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
68,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
69,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
70,3,36.33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
71,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
72,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
73,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
74,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
75,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
76,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
77,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
78,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
79,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
80,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
81,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
82,3,36.33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
83,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
84,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
85,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
86,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
87,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
88,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
89,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
90,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
91,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
92,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
93,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
94,3,36.33,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
95,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
96,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
97,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
98,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
99,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
100,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
101,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
102,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
103,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
104,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
105,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
106,4,29.75,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,
107,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
108,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
109,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
110,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
111,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
112,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
113,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
114,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
115,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
116,3,10.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,
117,2,10.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
