Window_Num,Num_Packets,Avg_Length,Flag_Ack,Flag_Retransmission,Flag_Reset,Flag_Syn,Flag_Fin,Src_Port_Changed,Dst_Port_Changed,Round_Trip_Time,Label
1,2,66,1,0,0,0,0,0,0,0.000859,
2,3,66,1,0,0,0,0,0,0,0.000879,
3,2,66,1,0,0,0,0,0,0,0.001305,
4,3,66,1,0,0,0,0,0,0,0.001842,
5,2,66,1,0,0,0,0,0,0,0.001189,
6,2,66,1,0,0,0,0,0,0,0.003524,
7,3,66,1,0,0,0,0,0,0,0.000793,
8,2,66,1,0,0,0,0,0,0,0.000767,
9,3,66,1,0,0,0,0,0,0,0.005436,
10,3,66,1,0,0,0,0,0,0,0.000737,
11,3,66,1,0,0,0,0,0,0,0.0008,
12,2,66,1,0,0,0,0,0,0,0.002934,
13,3,66,1,0,0,0,0,0,0,0.001937,
14,2,66,1,0,0,0,0,0,0,0.002888,
15,3,66,1,0,0,0,0,0,0,0.010989,
16,2,66,1,0,0,0,0,0,0,0.010125,
17,3,66,1,0,0,0,0,0,0,0.005411,
18,2,66,1,0,0,0,0,0,0,0.003658,
19,3,66,1,0,0,0,0,0,0,0.000827,
20,2,66,1,0,0,0,0,0,0,0.001107,
21,3,66,1,0,0,0,0,0,0,0.001175,
22,3,66,1,0,0,0,0,0,0,0.004144,
23,3,66,1,0,0,0,0,0,0,0.001196,
24,2,66,1,0,0,0,0,0,0,0.000825,
25,3,66,1,0,0,0,0,0,0,0.000909,
26,2,66,1,0,0,0,0,0,0,0.00123,
27,3,66,1,0,0,0,0,0,0,0.000775,
28,2,66,1,0,0,0,0,0,0,0.001121,
29,3,66,1,0,0,0,0,0,0,0.000844,
30,2,66,1,0,0,0,0,0,0,0.000809,
31,3,66,1,0,0,0,0,0,0,0.001248,
32,2,66,1,0,0,0,0,0,0,0.002111,
33,3,66,1,0,0,0,0,0,0,0.001715,
34,3,66,1,0,0,0,0,0,0,0.006047,
35,3,66,1,0,0,0,0,0,0,0.000851,
36,2,66,1,0,0,0,0,0,0,0.001108,
37,2,66,1,0,0,0,0,0,0,0.00087,
38,3,66,1,0,0,0,0,0,0,0.000845,
39,2,66,1,0,0,0,0,0,0,0.001081,
40,3,66,1,0,0,0,0,0,0,0.001348,
41,2,66,1,0,0,0,0,0,0,0.00166,
42,3,66,1,0,0,0,0,0,0,0.002125,
43,2,66,1,0,0,0,0,0,0,0.001251,
44,3,66,1,0,0,0,0,0,0,0.004701,
45,2,66,1,0,0,0,0,0,0,0.000908,
46,4,66,1,0,0,0,0,0,0,0.001088,
47,2,66,1,0,0,0,0,0,0,0.002817,
48,3,66,1,0,0,0,0,0,0,0.000838,
49,2,66,1,0,0,0,0,0,0,0.001318,
50,3,66,1,0,0,0,0,0,0,0.004912,
51,2,66,1,0,0,0,0,0,0,0.003364,
52,3,66,1,0,0,0,0,0,0,0.000849,
53,2,66,1,0,0,0,0,0,0,0.000913,
54,3,66,1,0,0,0,0,0,0,0.001159,
55,2,66,1,0,0,0,0,0,0,0.000776,
56,3,66,1,0,0,0,0,0,0,0.000816,
57,2,66,1,0,0,0,0,0,0,0.000726,
58,4,66,1,0,0,0,0,0,0,0.000725,
59,2,66,1,0,0,0,0,0,0,0.001209,
60,3,66,1,0,0,0,0,0,0,0.000735,
61,2,66,1,0,0,0,0,0,0,0.000921,
62,3,66,1,0,0,0,0,0,0,0.001794,
63,2,66,1,0,0,0,0,0,0,0.001168,
64,3,66,1,0,0,0,0,0,0,0.000996,
65,2,66,1,0,0,0,0,0,0,0.000863,
66,3,66,1,0,0,0,0,0,0,0.010428,
67,2,66,1,0,0,0,0,0,0,0.004625,
68,2,66,1,0,0,0,0,0,0,0.004395,
69,3,66,1,0,0,0,0,0,0,0.005931,
70,3,66,1,0,0,0,0,0,0,0.003272,
71,3,66,1,0,0,0,0,0,0,0.002585,
72,2,66,1,0,0,0,0,0,0,0.002052,
73,3,66,1,0,0,0,0,0,0,0.000773,
74,2,66,1,0,0,0,0,0,0,0.001161,
75,3,66,1,0,0,0,0,0,0,0.000783,
76,2,66,1,0,0,0,0,0,0,0.000808,
77,3,66,1,0,0,0,0,0,0,0.001245,
78,2,66,1,0,0,0,0,0,0,0.000832,
79,3,66,1,0,0,0,0,0,0,0.003497,
80,2,66,1,0,0,0,0,0,0,0.000839,
81,3,66,1,0,0,0,0,0,0,0.000801,
82,3,66,1,0,0,0,0,0,0,0.000899,
83,3,66,1,0,0,0,0,0,0,0.000863,
84,2,66,1,0,0,0,0,0,0,0.001028,
85,3,66,1,0,0,0,0,0,0,0.002181,
86,2,66,1,0,0,0,0,0,0,0.003019,
87,3,66,1,0,0,0,0,0,0,0.000864,
88,2,66,1,0,0,0,0,0,0,0.001002,
89,3,66,1,0,0,0,0,0,0,0.000743,
90,2,66,1,0,0,0,0,0,0,0.001165,
91,3,66,1,0,0,0,0,0,0,0.000751,
92,2,66,1,0,0,0,0,0,0,0.001165,
93,3,66,1,0,0,0,0,0,0,0.003758,
94,3,66,1,0,0,0,0,0,0,0.000806,
95,3,66,1,0,0,0,0,0,0,0.003967,
96,2,66,1,0,0,0,0,0,0,0.002504,
97,3,66,1,0,0,0,0,0,0,0.009202,
98,2,66,1,0,0,0,0,0,0,0.000851,
99,2,66,1,0,0,0,0,0,0,0.00089,
100,3,66,1,0,0,0,0,0,0,0.001158,
101,2,66,1,0,0,0,0,0,0,0.000829,
102,3,66,1,0,0,0,0,0,0,0.000835,
103,2,66,1,0,0,0,0,0,0,0.00208,
104,3,66,1,0,0,0,0,0,0,0.004921,
105,2,66,1,0,0,0,0,0,0,0.001171,
106,4,66,1,0,0,0,0,0,0,0.000815,
107,2,66,1,0,0,0,0,0,0,0.000933,
108,3,66,1,0,0,0,0,0,0,0.001221,
109,2,66,1,0,0,0,0,0,0,0.000783,
110,3,66,1,0,0,0,0,0,0,0.002852,
111,2,66,1,0,0,0,0,0,0,0.00073,
112,3,66,1,0,0,0,0,0,0,0.000978,
113,2,66,1,0,0,0,0,0,0,0.001685,
114,3,66,1,0,0,0,0,0,0,0.003237,
115,2,66,1,0,0,0,0,0,0,0.001085,
116,3,66,1,0,0,0,0,0,0,0.001319,
117,2,66,1,0,0,0,0,0,0,0.000873,
118,4,66,1,0,0,0,0,0,0,0.00109,
119,2,66,1,0,0,0,0,0,0,0.00105,
120,3,66,1,0,0,0,0,0,0,0.00559,
121,2,66,1,0,0,0,0,0,0,0.003866,
122,3,66,1,0,0,0,0,0,0,0.003935,
123,2,66,1,0,0,0,0,0,0,0.005245,
124,3,66,1,0,0,0,0,0,0,0.006647,
125,2,66,1,0,0,0,0,0,0,0.003438,
126,3,66,1,0,0,0,0,0,0,0.001258,
127,2,66,1,0,0,0,0,0,0,0.000788,
128,3,66,1,0,0,0,0,0,0,0.000949,
129,2,66,1,0,0,0,0,0,0,0.000789,
130,3,66,1,0,0,0,0,0,0,0.001375,
131,3,66,1,0,0,0,0,0,0,0.001315,
132,2,66,1,0,0,0,0,0,0,0.002976,
133,3,66,1,0,0,0,0,0,0,0.000882,
134,2,66,1,0,0,0,0,0,0,0.000792,
135,3,66,1,0,0,0,0,0,0,0.001041,
136,2,66,1,0,0,0,0,0,0,0.001178,
137,3,66,1,0,0,0,0,0,0,0.000927,
138,2,66,1,0,0,0,0,0,0,0.001761,
139,3,66,1,0,0,0,0,0,0,0.004926,
140,2,66,1,0,0,0,0,0,0,0.00147,
141,3,66,1,0,0,0,0,0,0,0.001209,
142,3,66,1,0,0,0,0,0,0,0.006082,
143,3,66,1,0,0,0,0,0,0,0.000793,
144,2,66,1,0,0,0,0,0,0,0.000779,
145,3,66,1,0,0,0,0,0,0,0.000794,
146,2,66,1,0,0,0,0,0,0,0.001456,
147,3,66,1,0,0,0,0,0,0,0.002087,
148,2,66,1,0,0,0,0,0,0,0.002024,
149,3,66,1,0,0,0,0,0,0,0.002052,
150,2,66,1,0,0,0,0,0,0,0.002342,
151,3,66,1,0,0,0,0,0,0,0.000937,
152,2,66,1,0,0,0,0,0,0,0.001019,
153,3,66,1,0,0,0,0,0,0,0.0008,
154,3,66,1,0,0,0,0,0,0,0.003507,
155,3,66,1,0,0,0,0,0,0,0.016071,
156,2,66,1,0,0,0,0,0,0,0.005348,
157,3,66,1,0,0,0,0,0,0,0.012516,
158,2,66,1,0,0,0,0,0,0,0.000784,
159,3,66,1,0,0,0,0,0,0,0.001164,
160,2,66,1,0,0,0,0,0,0,0.000776,
161,2,66,1,0,0,0,0,0,0,0.001106,
162,3,66,1,0,0,0,0,0,0,0.001272,
163,2,66,1,0,0,0,0,0,0,0.002721,
164,3,66,1,0,0,0,0,0,0,0.001088,
165,2,66,1,0,0,0,0,0,0,0.000839,
166,3,66,1,0,0,0,0,0,0,0.000839,
167,2,66,1,0,0,0,0,0,0,0.002783,
168,3,66,1,0,0,0,0,0,0,0.000861,
169,2,66,1,0,0,0,0,0,0,0.001267,
170,3,66,1,0,0,0,0,0,0,0.001223,
171,2,66,1,0,0,0,0,0,0,0.001505,
172,3,66,1,0,0,0,0,0,0,0.002398,
173,2,66,1,0,0,0,0,0,0,0.003252,
174,3,66,1,0,0,0,0,0,0,0.006091,
175,2,66,1,0,0,0,0,0,0,0.006214,
176,4,66,1,0,0,0,0,0,0,0.000857,
177,3,66,1,0,0,0,0,0,0,0.004133,
178,4,66,1,0,0,0,0,0,0,0.005969,
179,2,66,1,0,0,0,0,0,0,0.005628,
180,3,66,1,0,0,0,0,0,0,0.001908,
181,2,66,1,0,0,0,0,0,0,0.000868,
182,3,66,1,0,0,0,0,0,0,0.005942,
183,2,66,1,0,0,0,0,0,0,0.000834,
184,3,66,1,0,0,0,0,0,0,0.000841,
185,2,66,1,0,0,0,0,0,0,0.001141,
186,3,66,1,0,0,0,0,0,0,0.001956,
187,2,66,1,0,0,0,0,0,0,0.001543,
188,3,66,1,0,0,0,0,0,0,0.001184,
189,2,66,1,0,0,0,0,0,0,0.005544,
190,4,66,1,0,0,0,0,0,0,0.001057,
191,2,66,1,0,0,0,0,0,0,0.000846,
192,2,66,1,0,0,0,0,0,0,0.001192,
193,3,66,1,0,0,0,0,0,0,0.001179,
194,2,66,1,0,0,0,0,0,0,0.001128,
195,3,66,1,0,0,0,0,0,0,0.001143,
196,2,66,1,0,0,0,0,0,0,0.000753,
197,3,66,1,0,0,0,0,0,0,0.002928,
198,2,66,1,0,0,0,0,0,0,0.000836,
199,3,66,1,0,0,0,0,0,0,0.000808,
200,2,66,1,0,0,0,0,0,0,0.001146,
201,3,66,1,0,0,0,0,0,0,0.001207,
202,3,66,1,0,0,0,0,0,0,0.001567,
203,3,66,1,0,0,0,0,0,0,0.00527,
204,2,66,1,0,0,0,0,0,0,0.006163,
205,3,66,1,0,0,0,0,0,0,0.005952,
206,2,66,1,0,0,0,0,0,0,0.005922,
207,3,66,1,0,0,0,0,0,0,0.001277,
208,2,66,1,0,0,0,0,0,0,0.00323,
209,3,66,1,0,0,0,0,0,0,0.003596,
210,2,66,1,0,0,0,0,0,0,0.003042,
211,3,66,1,0,0,0,0,0,0,0.00115,
212,2,66,1,0,0,0,0,0,0,0.000732,
213,3,66,1,0,0,0,0,0,0,0.000777,
214,3,66,1,0,0,0,0,0,0,0.001073,
215,3,66,1,0,0,0,0,0,0,0.002284,
216,2,66,1,0,0,0,0,0,0,0.003242,
217,3,66,1,0,0,0,0,0,0,0.000839,
218,3,66,1,0,0,0,0,0,0,0.001016,
219,5,66,1,0,0,0,0,0,0,0.003447,
220,2,66,1,0,0,0,0,0,0,0.003362,
221,3,66,1,0,0,0,0,0,0,0.002446,
222,2,66,1,0,0,0,0,0,0,0.001474,
223,2,66,1,0,0,0,0,0,0,0.003125,
224,3,66,1,0,0,0,0,0,0,0.001228,
225,2,66,1,0,0,0,0,0,0,0.000839,
226,4,66,1,0,0,0,0,0,0,0.003225,
227,2,66,1,0,0,0,0,0,0,0.000775,
228,3,66,1,0,0,0,0,0,0,0.00073,
229,2,66,1,0,0,0,0,0,0,0.00117,
230,3,66,1,0,0,0,0,0,0,0.000788,
231,2,66,1,0,0,0,0,0,0,0.003915,
232,3,66,1,0,0,0,0,0,0,0.002565,
233,2,66,1,0,0,0,0,0,0,0.005177,
234,3,66,1,0,0,0,0,0,0,0.003535,
235,2,66,1,0,0,0,0,0,0,0.003223,
236,3,66,1,0,0,0,0,0,0,0.005938,
237,2,66,1,0,0,0,0,0,0,0.003666,
238,4,66,1,0,0,0,0,0,0,0.000812,
239,2,66,1,0,0,0,0,0,0,0.004118,
240,3,66,1,0,0,0,0,0,0,0.002025,
241,2,66,1,0,0,0,0,0,0,0.008054,
242,3,66,1,0,0,0,0,0,0,0.001182,
243,2,66,1,0,0,0,0,0,0,0.000767,
244,3,66,1,0,0,0,0,0,0,0.00103,
245,2,66,1,0,0,0,0,0,0,0.000733,
246,3,66,1,0,0,0,0,0,0,0.000764,
247,2,66,1,0,0,0,0,0,0,0.00109,
248,3,66,1,0,0,0,0,0,0,0.000752,
249,2,66,1,0,0,0,0,0,0,0.001171,
250,4,66,1,0,0,0,0,0,0,0.004476,
251,2,66,1,0,0,0,0,0,0,0.003305,
252,3,66,1,0,0,0,0,0,0,0.001681,
253,2,66,1,0,0,0,0,0,0,0.00085,
254,2,66,1,0,0,0,0,0,0,0.001108,
255,3,66,1,0,0,0,0,0,0,0.001139,
256,2,66,1,0,0,0,0,0,0,0.001186,
257,3,66,1,0,0,0,0,0,0,0.003074,
258,2,66,1,0,0,0,0,0,0,0.001038,
259,3,66,1,0,0,0,0,0,0,0.000801,
260,2,66,1,0,0,0,0,0,0,0.004465,
261,3,66,1,0,0,0,0,0,0,0.005367,
262,3,66,1,0,0,0,0,0,0,0.000723,
263,3,66,1,0,0,0,0,0,0,0.002437,
264,2,66,1,0,0,0,0,0,0,0.001433,
265,3,66,1,0,0,0,0,0,0,0.001241,
266,2,66,1,0,0,0,0,0,0,0.00083,
267,3,66,1,0,0,0,0,0,0,0.00104,
268,2,66,1,0,0,0,0,0,0,0.004438,
269,3,66,1,0,0,0,0,0,0,0.000856,
270,2,66,1,0,0,0,0,0,0,0.001128,
271,3,66,1,0,0,0,0,0,0,0.000829,
272,2,66,1,0,0,0,0,0,0,0.001119,
273,3,66,1,0,0,0,0,0,0,0.004095,
274,3,66,1,0,0,0,0,0,0,0.006212,
275,3,66,1,0,0,0,0,0,0,0.001568,
276,2,66,1,0,0,0,0,0,0,0.004911,
277,3,66,1,0,0,0,0,0,0,0.001154,
278,2,66,1,0,0,0,0,0,0,0.000721,
279,3,66,1,0,0,0,0,0,0,0.000763,
280,2,66,1,0,0,0,0,0,0,0.001208,
281,3,66,1,0,0,0,0,0,0,0.000857,
282,2,66,1,0,0,0,0,0,0,0.001347,
283,3,66,1,0,0,0,0,0,0,0.001395,
284,2,66,1,0,0,0,0,0,0,0.000831,
285,2,66,1,0,0,0,0,0,0,0.001961,
286,4,66,1,0,0,0,0,0,0,0.001222,
287,2,66,1,0,0,0,0,0,0,0.002698,
288,3,66,1,0,0,0,0,0,0,0.00144,
289,2,66,1,0,0,0,0,0,0,0.006695,
290,3,66,1,0,0,0,0,0,0,0.001831,
291,2,66,1,0,0,0,0,0,0,0.006231,
292,3,66,1,0,0,0,0,0,0,0.005666,
293,2,66,1,0,0,0,0,0,0,0.001248,
294,3,66,1,0,0,0,0,0,0,0.000798,
295,2,66,1,0,0,0,0,0,0,0.006017,
296,3,66,1,0,0,0,0,0,0,0.001205,
297,2,66,1,0,0,0,0,0,0,0.000808,
298,4,66,1,0,0,0,0,0,0,0.001001,
299,2,66,1,0,0,0,0,0,0,0.00079,
300,3,66,1,0,0,0,0,0,0,0.00101,
301,2,66,1,0,0,0,0,0,0,0.001117,
302,3,66,1,0,0,0,0,0,0,0.000961,
303,2,66,1,0,0,0,0,0,0,0.001086,
304,3,66,1,0,0,0,0,0,0,0.001253,
305,2,66,1,0,0,0,0,0,0,0.000838,
306,3,66,1,0,0,0,0,0,0,0.001389,
307,2,66,1,0,0,0,0,0,0,0.000854,
308,3,66,1,0,0,0,0,0,0,0.006618,
309,2,66,1,0,0,0,0,0,0,0.006467,
310,4,66,1,0,0,0,0,0,0,0.005119,
311,2,66,1,0,0,0,0,0,0,0.002135,
312,3,66,1,0,0,0,0,0,0,0.000741,
313,2,66,1,0,0,0,0,0,0,0.001026,
314,3,66,1,0,0,0,0,0,0,0.001594,
315,2,66,1,0,0,0,0,0,0,0.00535,
316,2,66,1,0,0,0,0,0,0,0.003265,
317,3,66,1,0,0,0,0,0,0,0.000951,
318,2,66,1,0,0,0,0,0,0,0.001845,
319,3,66,1,0,0,0,0,0,0,0.001393,
320,2,66,1,0,0,0,0,0,0,0.000782,
321,3,66,1,0,0,0,0,0,0,0.001203,
322,3,66,1,0,0,0,0,0,0,0.00102,
323,3,66,1,0,0,0,0,0,0,0.001021,
324,2,66,1,0,0,0,0,0,0,0.00248,
325,3,66,1,0,0,0,0,0,0,0.002219,
326,2,66,1,0,0,0,0,0,0,0.001179,
327,3,66,1,0,0,0,0,0,0,0.002358,
328,2,66,1,0,0,0,0,0,0,0.003229,
329,3,66,1,0,0,0,0,0,0,0.005574,
330,2,66,1,0,0,0,0,0,0,0.000745,
331,3,66,1,0,0,0,0,0,0,0.000837,
332,2,66,1,0,0,0,0,0,0,0.000757,
333,3,66,1,0,0,0,0,0,0,0.00096,
334,3,66,1,0,0,0,0,0,0,0.000847,
335,3,66,1,0,0,0,0,0,0,0.000841,
336,2,66,1,0,0,0,0,0,0,0.001118,
337,3,66,1,0,0,0,0,0,0,0.001151,
338,2,66,1,0,0,0,0,0,0,0.002586,
339,3,66,1,0,0,0,0,0,0,0.001119,
340,2,66,1,0,0,0,0,0,0,0.000933,
341,3,66,1,0,0,0,0,0,0,0.001341,
342,2,66,1,0,0,0,0,0,0,0.005328,
343,3,66,1,0,0,0,0,0,0,0.002353,
344,2,66,1,0,0,0,0,0,0,0.004002,
345,3,66,1,0,0,0,0,0,0,0.002241,
346,3,66,1,0,0,0,0,0,0,0.000819,
347,2,66,1,0,0,0,0,0,0,0.001871,
348,3,66,1,0,0,0,0,0,0,0.000794,
349,2,66,1,0,0,0,0,0,0,0.00124,
350,3,66,1,0,0,0,0,0,0,0.000845,
351,2,66,1,0,0,0,0,0,0,0.000896,
352,3,66,1,0,0,0,0,0,0,0.001098,
353,2,66,1,0,0,0,0,0,0,0.001012,
354,3,66,1,0,0,0,0,0,0,0.000783,
355,2,66,1,0,0,0,0,0,0,0.00129,
356,3,66,1,0,0,0,0,0,0,0.005163,
357,2,66,1,0,0,0,0,0,0,0.00134,
358,4,66,1,0,0,0,0,0,0,0.003965,
359,2,66,1,0,0,0,0,0,0,0.001147,
360,3,66,1,0,0,0,0,0,0,0.000683,
361,2,66,1,0,0,0,0,0,0,0.000728,
362,3,66,1,0,0,0,0,0,0,0.000938,
363,2,66,1,0,0,0,0,0,0,0.004095,
364,3,66,1,0,0,0,0,0,0,0.000782,
365,2,66,1,0,0,0,0,0,0,0.001099,
366,3,66,1,0,0,0,0,0,0,0.000765,
367,2,66,1,0,0,0,0,0,0,0.001108,
368,3,66,1,0,0,0,0,0,0,0.001252,
369,2,66,1,0,0,0,0,0,0,0.001769,
370,4,66,1,0,0,0,0,0,0,0.006889,
371,2,66,1,0,0,0,0,0,0,0.002411,
372,3,66,1,0,0,0,0,0,0,0.006045,
373,2,66,1,0,0,0,0,0,0,0.002363,
374,3,66,1,0,0,0,0,0,0,0.000887,
375,2,66,1,0,0,0,0,0,0,0.001151,
376,3,66,1,0,0,0,0,0,0,0.000911,
377,2,66,1,0,0,0,0,0,0,0.00086,
378,2,66,1,0,0,0,0,0,0,0.000745,
379,3,66,1,0,0,0,0,0,0,0.000809,
380,2,66,1,0,0,0,0,0,0,0.005725,
381,3,66,1,0,0,0,0,0,0,0.002739,
382,3,66,1,0,0,0,0,0,0,0.001218,
383,3,66,1,0,0,0,0,0,0,0.001109,
384,2,66,1,0,0,0,0,0,0,0.000764,
385,3,66,1,0,0,0,0,0,0,0.001002,
386,2,66,1,0,0,0,0,0,0,0.004665,
387,3,66,1,0,0,0,0,0,0,0.000865,
388,2,66,1,0,0,0,0,0,0,0.001159,
389,3,66,1,0,0,0,0,0,0,0.000874,
390,2,66,1,0,0,0,0,0,0,0.001091,
391,3,66,1,0,0,0,0,0,0,0.001815,
392,2,66,1,0,0,0,0,0,0,0.000824,
393,3,66,1,0,0,0,0,0,0,0.001114,
394,3,66,1,0,0,0,0,0,0,0.001172,
395,3,66,1,0,0,0,0,0,0,0.001821,
396,2,66,1,0,0,0,0,0,0,0.000807,
397,3,66,1,0,0,0,0,0,0,0.004473,
398,2,66,1,0,0,0,0,0,0,0.004429,
399,3,66,1,0,0,0,0,0,0,0.005638,
400,2,66,1,0,0,0,0,0,0,0.001448,
401,3,66,1,0,0,0,0,0,0,0.007328,
402,2,66,1,0,0,0,0,0,0,0.00083,
403,3,66,1,0,0,0,0,0,0,0.000966,
404,2,66,1,0,0,0,0,0,0,0.000882,
405,3,66,1,0,0,0,0,0,0,0.000987,
406,3,66,1,0,0,0,0,0,0,0.001238,
407,3,66,1,0,0,0,0,0,0,0.000904,
408,2,66,1,0,0,0,0,0,0,0.000953,
409,2,66,1,0,0,0,0,0,0,0.002821,
410,3,66,1,0,0,0,0,0,0,0.000847,
411,2,66,1,0,0,0,0,0,0,0.001091,
412,3,66,1,0,0,0,0,0,0,0.000825,
413,2,66,1,0,0,0,0,0,0,0.001122,
414,3,66,1,0,0,0,0,0,0,0.002401,
415,2,66,1,0,0,0,0,0,0,0.005691,
416,3,66,1,0,0,0,0,0,0,0.002678,
417,2,66,1,0,0,0,0,0,0,0.003257,
418,4,66,1,0,0,0,0,0,0,0.000957,
419,2,66,1,0,0,0,0,0,0,0.00115,
420,3,66,1,0,0,0,0,0,0,0.000836,
421,2,66,1,0,0,0,0,0,0,0.001186,
422,3,66,1,0,0,0,0,0,0,0.000712,
423,2,66,1,0,0,0,0,0,0,0.000823,
424,3,66,1,0,0,0,0,0,0,0.001161,
425,2,66,1,0,0,0,0,0,0,0.002961,
426,3,66,1,0,0,0,0,0,0,0.00672,
427,2,66,1,0,0,0,0,0,0,0.00088,
428,3,66,1,0,0,0,0,0,0,0.003456,
429,2,66,1,0,0,0,0,0,0,0.0034,
430,4,66,1,0,0,0,0,0,0,0.000788,
431,2,66,1,0,0,0,0,0,0,0.001054,
432,3,66,1,0,0,0,0,0,0,0.006203,
433,2,66,1,0,0,0,0,0,0,0.008508,
434,3,66,1,0,0,0,0,0,0,0.001015,
435,2,66,1,0,0,0,0,0,0,0.000847,
436,3,66,1,0,0,0,0,0,0,0.000801,
437,2,66,1,0,0,0,0,0,0,0.001148,
438,2,66,1,0,0,0,0,0,0,0.000851,
439,3,66,1,0,0,0,0,0,0,0.001069,
440,2,66,1,0,0,0,0,0,0,0.000859,
441,3,66,1,0,0,0,0,0,0,0.000805,
442,3,66,1,0,0,0,0,0,0,0.002477,
443,3,66,1,0,0,0,0,0,0,0.000855,
444,2,66,1,0,0,0,0,0,0,0.002358,
445,3,66,1,0,0,0,0,0,0,0.001221,
446,2,66,1,0,0,0,0,0,0,0.000835,
447,3,66,1,0,0,0,0,0,0,0.00115,
448,2,66,1,0,0,0,0,0,0,0.001347,
449,3,66,1,0,0,0,0,0,0,0.001373,
450,2,66,1,0,0,0,0,0,0,0.001504,
451,3,66,1,0,0,0,0,0,0,0.002932,
452,2,66,1,0,0,0,0,0,0,0.001177,
453,3,66,1,0,0,0,0,0,0,0.000732,
454,3,66,1,0,0,0,0,0,0,0.000968,
455,3,66,1,0,0,0,0,0,0,0.001211,
456,2,66,1,0,0,0,0,0,0,0.001045,
457,3,66,1,0,0,0,0,0,0,0.003648,
458,2,66,1,0,0,0,0,0,0,0.000871,
459,3,66,1,0,0,0,0,0,0,0.000833,
460,2,66,1,0,0,0,0,0,0,0.001161,
461,3,66,1,0,0,0,0,0,0,0.00331,
