Window_Num,Num_Packets,Avg_Length,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change,Num_Events,Label
1,2,134.0,0,0,0,0,0,
2,3,134.0,0,0,0,0,0,
3,2,134.0,0,0,0,0,0,
4,3,134.0,0,0,0,0,0,
5,2,134.0,0,0,0,0,0,
6,3,134.0,0,0,0,0,0,
7,2,134.0,0,0,0,0,0,
8,3,134.0,0,0,0,0,0,
9,2,134.0,0,0,0,0,0,
10,3,134.0,0,0,0,0,0,
11,2,134.0,0,0,0,0,0,
12,3,134.0,0,0,0,0,0,
13,2,134.0,0,0,0,0,0,
14,3,134.0,0,0,0,0,0,
15,2,134.0,0,0,0,0,0,
16,3,134.0,0,0,0,0,0,
17,2,134.0,0,0,0,0,0,
18,3,134.0,0,0,0,0,0,
19,2,134.0,0,0,0,0,0,
20,3,134.0,0,0,0,0,0,
21,2,134.0,0,0,0,0,0,
22,3,134.0,0,0,0,0,0,
23,2,134.0,0,0,0,0,0,
24,3,134.0,0,0,0,0,0,
25,2,134.0,0,0,0,0,0,
26,3,134.0,0,0,0,0,0,
27,2,134.0,0,0,0,0,0,
28,3,134.0,0,0,0,0,0,
29,2,134.0,0,0,0,0,0,
30,3,134.0,0,0,0,0,0,
31,2,134.0,0,0,0,0,0,
32,3,134.0,0,0,0,0,0,
33,2,134.0,0,0,0,0,0,
34,3,134.0,0,0,0,0,0,
35,2,134.0,0,0,0,0,0,
36,3,134.0,0,0,0,0,0,
37,2,134.0,0,0,0,0,0,
38,3,134.0,0,0,0,0,0,
39,2,134.0,0,0,0,0,0,
40,3,134.0,0,0,0,0,0,
41,2,134.0,0,0,0,0,0,
42,3,134.0,0,0,0,0,0,
43,2,134.0,0,0,0,0,0,
44,3,134.0,0,0,0,0,0,
45,2,134.0,0,0,0,0,0,
46,3,134.0,0,0,0,0,0,
47,2,134.0,0,0,0,0,0,
48,3,134.0,0,0,0,0,0,
49,2,134.0,0,0,0,0,0,
50,3,134.0,0,0,0,0,0,
51,2,134.0,0,0,0,0,0,
52,3,134.0,0,0,0,0,0,
53,2,134.0,0,0,0,0,0,
54,3,134.0,0,0,0,0,0,
55,2,134.0,0,0,0,0,0,
56,3,134.0,0,0,0,0,0,
57,2,134.0,0,0,0,0,0,
58,3,134.0,0,0,0,0,0,
59,2,134.0,0,0,0,0,0,
60,3,134.0,0,0,0,0,0,
61,2,134.0,0,0,0,0,0,
62,3,134.0,0,0,0,0,0,
63,2,134.0,0,0,0,0,0,
64,3,134.0,0,0,0,0,0,
65,2,134.0,0,0,0,0,0,
66,3,134.0,0,0,0,0,0,
67,2,134.0,0,0,0,0,0,
68,3,134.0,0,0,0,0,0,
69,2,134.0,0,0,0,0,0,
70,3,134.0,0,0,0,0,0,
71,2,134.0,0,0,0,0,0,
72,3,134.0,0,0,0,0,0,
73,2,134.0,0,0,0,0,0,
74,3,134.0,0,0,0,0,0,
75,2,134.0,0,0,0,0,0,
76,3,134.0,0,0,0,0,0,
77,2,134.0,0,0,0,0,0,
78,3,134.0,0,0,0,0,0,
79,2,134.0,0,0,0,0,0,
80,3,134.0,0,0,0,0,0,
81,2,134.0,0,0,0,0,0,
82,3,134.0,0,0,0,0,0,
83,2,134.0,0,0,0,0,0,
84,3,134.0,0,0,0,0,0,
85,2,134.0,0,0,0,0,0,
86,3,134.0,0,0,0,0,0,
87,2,134.0,0,0,0,0,0,
88,3,134.0,0,0,0,0,0,
89,2,134.0,0,0,0,0,0,
90,3,134.0,0,0,0,0,0,
91,2,134.0,0,0,0,0,0,
92,3,134.0,0,0,0,0,0,
93,2,134.0,0,0,0,0,0,
94,3,134.0,0,0,0,0,0,
95,2,134.0,0,0,0,0,0,
96,3,134.0,0,0,0,0,0,
97,2,134.0,0,0,0,0,0,
98,3,134.0,0,0,0,0,0,
99,2,134.0,0,0,0,0,0,
100,3,134.0,0,0,0,0,0,
101,2,134.0,0,0,0,0,0,
102,3,134.0,0,0,0,0,0,
103,2,134.0,0,0,0,0,0,
104,3,134.0,0,0,0,0,0,
105,2,134.0,0,0,0,0,0,
106,3,134.0,0,0,0,0,0,
107,2,134.0,0,0,0,0,0,
108,3,134.0,0,0,0,0,0,
109,2,134.0,0,0,0,0,0,
110,3,134.0,0,0,0,0,0,
111,2,134.0,0,0,0,0,0,
112,3,134.0,0,0,0,0,0,
113,2,134.0,0,0,0,0,0,
114,3,134.0,0,0,0,0,0,
115,2,134.0,0,0,0,0,0,
116,3,134.0,0,0,0,0,0,
117,2,134.0,0,0,0,0,0,
118,3,134.0,0,0,0,0,0,
119,2,134.0,0,0,0,0,0,
120,3,134.0,0,0,0,0,0,
121,2,134.0,0,0,0,0,0,
122,3,134.0,0,0,0,0,0,
123,2,134.0,0,0,0,0,0,
124,3,134.0,0,0,0,0,0,
125,2,134.0,0,0,0,0,0,
126,3,134.0,0,0,0,0,0,
127,2,134.0,0,0,0,0,0,
128,3,134.0,0,0,0,0,0,
129,2,134.0,0,0,0,0,0,
130,3,134.0,0,0,0,0,0,
131,2,134.0,0,0,0,0,0,
132,3,134.0,0,0,0,0,0,
133,2,134.0,0,0,0,0,0,
134,3,134.0,0,0,0,0,0,
135,2,134.0,0,0,0,0,0,
136,3,134.0,0,0,0,0,0,
137,2,134.0,0,0,0,0,0,
138,3,134.0,0,0,0,0,0,
139,2,134.0,0,0,0,0,0,
140,3,134.0,0,0,0,0,0,
141,2,134.0,0,0,0,0,0,
142,3,134.0,0,0,0,0,0,
143,2,134.0,0,0,0,0,0,
144,3,134.0,0,0,0,0,0,
145,2,134.0,0,0,0,0,0,
146,3,134.0,0,0,0,0,0,
147,2,134.0,0,0,0,0,0,
148,3,134.0,0,0,0,0,0,
149,2,134.0,0,0,0,0,0,
150,3,134.0,0,0,0,0,0,
151,2,134.0,0,0,0,0,0,
152,3,134.0,0,0,0,0,0,
153,2,134.0,0,0,0,0,0,
154,3,134.0,0,0,0,0,0,
155,2,134.0,0,0,0,0,0,
156,3,134.0,0,0,0,0,0,
157,2,134.0,0,0,0,0,0,
158,3,134.0,0,0,0,0,0,
159,2,134.0,0,0,0,0,0,
160,3,134.0,0,0,0,0,0,
161,2,134.0,0,0,0,0,0,
162,3,134.0,0,0,0,0,0,
163,2,134.0,0,0,0,0,0,
164,3,134.0,0,0,0,0,0,
165,2,134.0,0,0,0,0,0,
166,3,134.0,0,0,0,0,0,
167,2,134.0,0,0,0,0,0,
168,3,134.0,0,0,0,0,0,
169,2,134.0,0,0,0,0,0,
170,3,134.0,0,0,0,0,0,
171,2,134.0,0,0,0,0,0,
172,3,134.0,0,0,0,0,0,
173,2,134.0,0,0,0,0,0,
174,3,134.0,0,0,0,0,0,
175,2,134.0,0,0,0,0,0,
176,3,134.0,0,0,0,0,0,
177,2,134.0,0,0,0,0,0,
178,3,134.0,0,0,0,0,0,
179,2,134.0,0,0,0,0,0,
180,3,134.0,0,0,0,0,0,
181,2,134.0,0,0,0,0,0,
182,3,134.0,0,0,0,0,0,
183,2,134.0,0,0,0,0,0,
184,3,134.0,0,0,0,0,0,
185,2,134.0,0,0,0,0,0,
186,3,134.0,0,0,0,0,0,
187,2,134.0,0,0,0,0,0,
188,3,134.0,0,0,0,0,0,
189,2,134.0,0,0,0,0,0,
190,3,134.0,0,0,0,0,0,
191,2,134.0,0,0,0,0,0,
192,3,134.0,0,0,0,0,0,
193,2,134.0,0,0,0,0,0,
194,3,134.0,0,0,0,0,0,
195,2,134.0,0,0,0,0,0,
196,3,134.0,0,0,0,0,0,
197,2,134.0,0,0,0,0,0,
198,3,134.0,0,0,0,0,0,
199,2,134.0,0,0,0,0,0,
200,3,134.0,0,0,0,0,0,
201,2,134.0,0,0,0,0,0,
202,3,134.0,0,0,0,0,0,
203,2,134.0,0,0,0,0,0,
204,3,134.0,0,0,0,0,0,
205,2,134.0,0,0,0,0,0,
206,3,134.0,0,0,0,0,0,
207,2,134.0,0,0,0,0,0,
208,3,134.0,0,0,0,0,0,
209,2,134.0,0,0,0,0,0,
210,3,134.0,0,0,0,0,0,
211,2,134.0,0,0,0,0,0,
212,3,134.0,0,0,0,0,0,
213,2,134.0,0,0,0,0,0,
214,3,134.0,0,0,0,0,0,
215,2,134.0,0,0,0,0,0,
216,3,134.0,0,0,0,0,0,
217,2,134.0,0,0,0,0,0,
218,3,134.0,0,0,0,0,0,
219,2,134.0,0,0,0,0,0,
220,3,134.0,0,0,0,0,0,
221,2,134.0,0,0,0,0,0,
222,3,134.0,0,0,0,0,0,
223,2,134.0,0,0,0,0,0,
224,3,134.0,0,0,0,0,0,
225,2,134.0,0,0,0,0,0,
226,3,134.0,0,0,0,0,0,
227,2,134.0,0,0,0,0,0,
228,3,134.0,0,0,0,0,0,
229,2,134.0,0,0,0,0,0,
230,3,134.0,0,0,0,0,0,
231,2,134.0,0,0,0,0,0,
232,3,134.0,0,0,0,0,0,
233,2,134.0,0,0,0,0,0,
234,3,134.0,0,0,0,0,0,
235,2,134.0,0,0,0,0,0,
236,3,134.0,0,0,0,0,0,
237,2,134.0,0,0,0,0,0,
238,3,134.0,0,0,0,0,0,
239,2,134.0,0,0,0,0,0,
240,3,134.0,0,0,0,0,0,
241,2,134.0,0,0,0,0,0,
242,3,134.0,0,0,0,0,0,
243,2,134.0,0,0,0,0,0,
244,3,134.0,0,0,0,0,0,
245,2,134.0,0,0,0,0,0,
246,3,134.0,0,0,0,0,0,
247,2,134.0,0,0,0,0,0,
248,3,134.0,0,0,0,0,0,
249,2,134.0,0,0,0,0,0,
250,3,134.0,0,0,0,0,0,
251,2,134.0,0,0,0,0,0,
252,3,134.0,0,0,0,0,0,
253,2,134.0,0,0,0,0,0,
254,3,134.0,0,0,0,0,0,
255,2,134.0,0,0,0,0,0,
256,3,134.0,0,0,0,0,0,
257,2,134.0,0,0,0,0,0,
258,3,134.0,0,0,0,0,0,
259,2,134.0,0,0,0,0,0,
260,3,134.0,0,0,0,0,0,
261,2,134.0,0,0,0,0,0,
262,3,134.0,0,0,0,0,0,
263,2,134.0,0,0,0,0,0,
264,3,134.0,0,0,0,0,0,
265,2,134.0,0,0,0,0,0,
266,3,134.0,0,0,0,0,0,
267,2,134.0,0,0,0,0,0,
268,3,134.0,0,0,0,0,0,
269,2,134.0,0,0,0,0,0,
270,3,134.0,0,0,0,0,0,
271,2,134.0,0,0,0,0,0,
272,3,134.0,0,0,0,0,0,
273,2,134.0,0,0,0,0,0,
274,3,134.0,0,0,0,0,0,
275,2,134.0,0,0,0,0,0,
276,3,134.0,0,0,0,0,0,
277,2,134.0,0,0,0,0,0,
278,3,134.0,0,0,0,0,0,
279,2,134.0,0,0,0,0,0,
280,3,134.0,0,0,0,0,0,
281,2,134.0,0,0,0,0,0,
282,3,134.0,0,0,0,0,0,
283,2,134.0,0,0,0,0,0,
284,3,134.0,0,0,0,0,0,
285,2,134.0,0,0,0,0,0,
286,3,134.0,0,0,0,0,0,
287,2,134.0,0,0,0,0,0,
288,3,134.0,0,0,0,0,0,
289,2,134.0,0,0,0,0,0,
290,3,134.0,0,0,0,0,0,
291,2,134.0,0,0,0,0,0,
292,3,134.0,0,0,0,0,0,
293,2,134.0,0,0,0,0,0,
294,3,134.0,0,0,0,0,0,
295,2,134.0,0,0,0,0,0,
296,3,134.0,0,0,0,0,0,
297,2,134.0,0,0,0,0,0,
298,3,134.0,0,0,0,0,0,
299,2,134.0,0,0,0,0,0,
300,3,134.0,0,0,0,0,0,
301,2,134.0,0,0,0,0,0,
302,3,134.0,0,0,0,0,0,
303,2,134.0,0,0,0,0,0,
304,3,134.0,0,0,0,0,0,
305,2,134.0,0,0,0,0,0,
306,3,134.0,0,0,0,0,0,
307,2,134.0,0,0,0,0,0,
308,3,134.0,0,0,0,0,0,
309,2,134.0,0,0,0,0,0,
310,3,134.0,0,0,0,0,0,
311,2,134.0,0,0,0,0,0,
312,3,134.0,0,0,0,0,0,
313,2,134.0,0,0,0,0,0,
314,3,134.0,0,0,0,0,0,
315,2,134.0,0,0,0,0,0,
316,3,134.0,0,0,0,0,0,
317,2,134.0,0,0,0,0,0,
318,3,134.0,0,0,0,0,0,
319,2,134.0,0,0,0,0,0,
320,3,134.0,0,0,0,0,0,
321,2,134.0,0,0,0,0,0,
322,3,134.0,0,0,0,0,0,
323,2,134.0,0,0,0,0,0,
324,3,134.0,0,0,0,0,0,
325,2,134.0,0,0,0,0,0,
326,3,134.0,0,0,0,0,0,
327,2,134.0,0,0,0,0,0,
328,3,134.0,0,0,0,0,0,
329,2,134.0,0,0,0,0,0,
330,3,134.0,0,0,0,0,0,
331,2,134.0,0,0,0,0,0,
332,3,134.0,0,0,0,0,0,
333,2,134.0,0,0,0,0,0,
334,3,134.0,0,0,0,0,0,
335,2,134.0,0,0,0,0,0,
336,3,134.0,0,0,0,0,0,
337,2,134.0,0,0,0,0,0,
338,3,134.0,0,0,0,0,0,
339,2,134.0,0,0,0,0,0,
340,3,134.0,0,0,0,0,0,
341,2,134.0,0,0,0,0,0,
342,3,134.0,0,0,0,0,0,
343,2,134.0,0,0,0,0,0,
344,3,134.0,0,0,0,0,0,
345,2,134.0,0,0,0,0,0,
346,3,134.0,0,0,0,0,0,
347,2,134.0,0,0,0,0,0,
348,3,134.0,0,0,0,0,0,
349,2,134.0,0,0,0,0,0,
350,3,134.0,0,0,0,0,0,
351,2,134.0,0,0,0,0,0,
352,3,134.0,0,0,0,0,0,
353,2,134.0,0,0,0,0,0,
354,3,134.0,0,0,0,0,0,
355,2,134.0,0,0,0,0,0,
356,3,134.0,0,0,0,0,0,
357,2,134.0,0,0,0,0,0,
358,3,134.0,0,0,0,0,0,
359,2,134.0,0,0,0,0,0,
360,3,134.0,0,0,0,0,0,
361,2,134.0,0,0,0,0,0,
362,3,134.0,0,0,0,0,0,
363,2,134.0,0,0,0,0,0,
364,3,134.0,0,0,0,0,0,
365,2,134.0,0,0,0,0,0,
366,3,134.0,0,0,0,0,0,
367,2,134.0,0,0,0,0,0,
368,3,134.0,0,0,0,0,0,
369,2,134.0,0,0,0,0,0,
370,3,134.0,0,0,0,0,0,
371,2,134.0,0,0,0,0,0,
372,3,134.0,0,0,0,0,0,
373,2,134.0,0,0,0,0,0,
374,3,134.0,0,0,0,0,0,
375,2,134.0,0,0,0,0,0,
376,3,134.0,0,0,0,0,0,
377,2,134.0,0,0,0,0,0,
378,3,134.0,0,0,0,0,0,
379,2,134.0,0,0,0,0,0,
380,3,134.0,0,0,0,0,0,
381,2,134.0,0,0,0,0,0,
382,3,134.0,0,0,0,0,0,
383,2,134.0,0,0,0,0,0,
384,3,134.0,0,0,0,0,0,
385,2,134.0,0,0,0,0,0,
386,3,134.0,0,0,0,0,0,
387,2,134.0,0,0,0,0,0,
388,3,134.0,0,0,0,0,0,
389,2,134.0,0,0,0,0,0,
390,3,134.0,0,0,0,0,0,
391,2,134.0,0,0,0,0,0,
392,3,134.0,0,0,0,0,0,
393,2,134.0,0,0,0,0,0,
394,3,134.0,0,0,0,0,0,
395,2,134.0,0,0,0,0,0,
396,3,134.0,0,0,0,0,0,
397,2,134.0,0,0,0,0,0,
398,3,134.0,0,0,0,0,0,
399,2,134.0,0,0,0,0,0,
400,3,134.0,0,0,0,0,0,
401,2,134.0,0,0,0,0,0,
402,3,134.0,0,0,0,0,0,
403,2,134.0,0,0,0,0,0,
404,3,134.0,0,0,0,0,0,
405,2,134.0,0,0,0,0,0,
406,3,134.0,0,0,0,0,0,
407,2,134.0,0,0,0,0,0,
408,3,134.0,0,0,0,0,0,
409,2,134.0,0,0,0,0,0,
410,3,134.0,0,0,0,0,0,
411,2,134.0,0,0,0,0,0,
412,3,134.0,0,0,0,0,0,
413,2,134.0,0,0,0,0,0,
414,3,134.0,0,0,0,0,0,
415,2,134.0,0,0,0,0,0,
416,3,134.0,0,0,0,0,0,
417,2,134.0,0,0,0,0,0,
418,3,134.0,0,0,0,0,0,
419,2,134.0,0,0,0,0,0,
420,3,134.0,0,0,0,0,0,
421,2,134.0,0,0,0,0,0,
422,3,134.0,0,0,0,0,0,
423,2,134.0,0,0,0,0,0,
424,3,134.0,0,0,0,0,0,
425,2,134.0,0,0,0,0,0,
426,3,134.0,0,0,0,0,0,
427,2,134.0,0,0,0,0,0,
428,3,134.0,0,0,0,0,0,
429,2,134.0,0,0,0,0,0,
430,3,134.0,0,0,0,0,0,
431,2,134.0,0,0,0,0,0,
432,3,134.0,0,0,0,0,0,
433,2,134.0,0,0,0,0,0,
434,3,134.0,0,0,0,0,0,
435,2,134.0,0,0,0,0,0,
436,3,134.0,0,0,0,0,0,
437,2,134.0,0,0,0,0,0,
438,3,134.0,0,0,0,0,0,
439,2,134.0,0,0,0,0,0,
440,3,134.0,0,0,0,0,0,
441,2,134.0,0,0,0,0,0,
442,3,134.0,0,0,0,0,0,
443,2,134.0,0,0,0,0,0,
444,3,134.0,0,0,0,0,0,
445,2,134.0,0,0,0,0,0,
446,3,134.0,0,0,0,0,0,
447,2,134.0,0,0,0,0,0,
448,3,134.0,0,0,0,0,0,
449,2,134.0,0,0,0,0,0,
450,3,134.0,0,0,0,0,0,
451,2,134.0,0,0,0,0,0,
452,3,134.0,0,0,0,0,0,
453,2,134.0,0,0,0,0,0,
454,3,134.0,0,0,0,0,0,
455,2,134.0,0,0,0,0,0,
456,3,134.0,0,0,0,0,0,
457,2,134.0,0,0,0,0,0,
458,3,134.0,0,0,0,0,0,
459,2,134.0,0,0,0,0,0,
460,3,134.0,0,0,0,0,0,
461,2,134.0,0,0,0,0,0,
462,3,134.0,0,0,0,0,0,
463,2,134.0,0,0,0,0,0,
464,3,134.0,0,0,0,0,0,
465,2,134.0,0,0,0,0,0,
466,3,134.0,0,0,0,0,0,
467,2,134.0,0,0,0,0,0,
468,3,134.0,0,0,0,0,0,
469,2,134.0,0,0,0,0,0,
470,3,134.0,0,0,0,0,0,
471,2,134.0,0,0,0,0,0,
472,3,134.0,0,0,0,0,0,
473,2,134.0,0,0,0,0,0,
474,3,134.0,0,0,0,0,0,
475,2,134.0,0,0,0,0,0,
476,3,134.0,0,0,0,0,0,
477,2,134.0,0,0,0,0,0,
478,3,134.0,0,0,0,0,0,
479,2,134.0,0,0,0,0,0,
480,3,134.0,0,0,0,0,0,
481,2,134.0,0,0,0,0,0,
482,3,134.0,0,0,0,0,0,
483,2,134.0,0,0,0,0,0,
484,3,134.0,0,0,0,0,0,
485,2,134.0,0,0,0,0,0,
486,3,134.0,0,0,0,0,0,
487,2,134.0,0,0,0,0,0,
488,3,134.0,0,0,0,0,0,
489,2,134.0,0,0,0,0,0,
490,3,134.0,0,0,0,0,0,
491,2,134.0,0,0,0,0,0,
492,3,134.0,0,0,0,0,0,
493,2,134.0,0,0,0,0,0,
494,3,134.0,0,0,0,0,0,
495,2,134.0,0,0,0,0,0,
496,3,134.0,0,0,0,0,0,
497,2,134.0,0,0,0,0,0,
498,3,134.0,0,0,0,0,0,
499,2,134.0,0,0,0,0,0,
500,3,134.0,0,0,0,0,0,
501,2,134.0,0,0,0,0,0,
502,3,134.0,0,0,0,0,0,
503,2,134.0,0,0,0,0,0,
504,3,134.0,0,0,0,0,0,
505,2,134.0,0,0,0,0,0,
506,3,134.0,0,0,0,0,0,
507,2,134.0,0,0,0,0,0,
508,3,134.0,0,0,0,0,0,
509,2,134.0,0,0,0,0,0,
510,3,134.0,0,0,0,0,0,
511,2,134.0,0,0,0,0,0,
512,3,134.0,0,0,0,0,0,
513,2,134.0,0,0,0,0,0,
514,3,134.0,0,0,0,0,0,
515,2,134.0,0,0,0,0,0,
516,3,134.0,0,0,0,0,0,
517,2,134.0,0,0,0,0,0,
518,3,134.0,0,0,0,0,0,
519,2,134.0,0,0,0,0,0,
520,3,134.0,0,0,0,0,0,
521,2,134.0,0,0,0,0,0,
522,3,134.0,0,0,0,0,0,
523,2,134.0,0,0,0,0,0,
524,3,134.0,0,0,0,0,0,
525,2,134.0,0,0,0,0,0,
526,3,134.0,0,0,0,0,0,
527,2,134.0,0,0,0,0,0,
528,3,134.0,0,0,0,0,0,
529,2,134.0,0,0,0,0,0,
530,3,134.0,0,0,0,0,0,
531,2,134.0,0,0,0,0,0,
532,3,134.0,0,0,0,0,0,
533,2,134.0,0,0,0,0,0,
534,3,134.0,0,0,0,0,0,
535,2,134.0,0,0,0,0,0,
536,3,134.0,0,0,0,0,0,
537,2,134.0,0,0,0,0,0,
538,3,134.0,0,0,0,0,0,
539,2,134.0,0,0,0,0,0,
540,3,134.0,0,0,0,0,0,
541,2,134.0,0,0,0,0,0,
542,3,134.0,0,0,0,0,0,
543,2,134.0,0,0,0,0,0,
544,3,134.0,0,0,0,0,0,
545,2,134.0,0,0,0,0,0,
