Window_Num,Num_Packets,Avg_DNP3_Length,IP_Port_Src,IP_Port_Dst,Function_Codes,IIN_Val_Change,IIN_Bits_Set,Data_Object_Change
9426,2,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,[],0
9427,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9428,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9429,6,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
9430,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9431,6,34.33,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
9432,6,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
9433,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9434,6,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
9435,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9436,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9437,6,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
9438,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9439,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9440,6,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
9441,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9442,6,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
9443,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9444,6,34.33,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
9445,6,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
9446,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9447,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9448,6,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
9449,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9450,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9451,6,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
9452,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9453,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9454,6,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
9455,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9456,6,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
9457,6,34.33,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
9458,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9459,6,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
9460,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9461,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9462,6,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
9463,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9464,6,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
9465,4,13.5,"['192.168.1.70:33847', '192.168.1.74:20000']","['192.168.1.70:33847', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
