Window_Num,Num_Packets,Avg_DNP3_Length,F0_Confirm,F1_Read,F2_Write,F4_Operate,F5_DirectOperate,F6_DirectOperate_NoResp,F13_ColdRestart,F14_WarmRestart,F129_Response,F130_UnsolicitedResponse,IIN_Val_Change,Data_Object_Change,Src_Port_Changed,Dst_Port_Changed
11063,2,13.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0
11064,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11065,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11066,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11067,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11068,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11069,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11070,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11071,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11072,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11073,6,34.33,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11074,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11075,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11076,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11077,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11078,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11079,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11080,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11081,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11082,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11083,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11084,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11085,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11086,8,29.12,0,4,0,0,0,0,0,0,4,0,0,0,0,0
11087,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11088,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11089,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11090,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11091,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11092,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11093,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11094,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11095,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11096,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11097,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11098,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11099,6,34.33,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11100,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11101,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11102,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11103,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11104,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11105,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11106,9,22.44,2,2,0,0,1,0,0,0,2,2,0,0,1,1
11127,2,9.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
11128,2,76.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
11135,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11136,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11137,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11138,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11139,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11140,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11141,8,29.12,0,4,0,0,0,0,0,0,4,0,0,0,0,0
11142,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11143,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11144,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11145,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11146,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11147,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11148,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11149,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11150,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11151,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11152,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11153,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11154,6,34.33,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11155,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11156,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11157,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11158,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11159,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11160,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0
11161,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11162,4,13.5,0,2,0,0,0,0,0,0,2,0,0,0,0,0
11163,6,13.5,0,3,0,0,0,0,0,0,3,0,0,0,0,0
