Window_Num,Num_Packets,Avg_Length,Eth_Src,Eth_Dst,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change
10620,7,267.14,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10621,12,263.42,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10622,13,253.38,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10623,12,263.42,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10624,13,253.38,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10625,12,263.42,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10626,13,253.38,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10627,12,263.42,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10628,13,253.38,"['00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd', '00:30:a7:2c:a0:59']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
10629,12,263.42,"['00:30:a7:2c:a0:4e', '00:30:a7:2c:a0:59', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:14', '01:0c:cd:01:00:03']",0,0,0,0
