Window_Num,Num_Packets,Avg_Length,Eth_Src,Eth_Dst,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change
10611,5,285.6,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:03', '01:0c:cd:01:00:13', '01:0c:cd:01:00:04']",0,0,0,0
10612,15,287.33,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10613,15,287.33,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10614,15,287.33,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10615,14,287.57,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10616,15,287.33,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10617,15,287.33,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10618,15,287.33,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10619,15,287.33,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10620,15,287.33,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10621,15,287.33,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10622,15,287.33,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10623,15,287.33,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10624,15,287.33,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10625,15,287.33,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10626,15,287.33,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10627,15,287.33,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10628,15,287.33,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10629,15,287.33,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10630,15,287.33,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10631,15,287.33,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10632,15,287.33,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10633,15,287.6,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10634,15,287.67,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10635,15,287.67,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10636,15,287.67,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10637,15,287.67,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10638,15,287.67,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10639,15,287.67,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
10640,15,287.67,"['00:30:a7:2c:a0:4e', '00:30:a7:33:20:7b', '00:30:a7:2c:9f:ab']","['01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:04']",0,0,0,0
