Window_Num,Num_Packets,Avg_Length,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change
7562,3,230.0,0,0,0,0
7563,5,230.0,0,0,0,0
7564,5,230.0,0,0,0,0
7565,5,230.0,0,0,0,0
7566,5,230.0,0,0,0,0
7567,5,230.0,0,0,0,0
7568,5,230.0,0,0,0,0
7569,5,230.0,0,0,0,0
7570,5,230.0,0,0,0,0
7571,9,228.89,1,1,0,1
7572,4,230.0,0,0,0,0
7573,5,230.0,0,0,0,0
7574,5,230.0,0,0,0,0
7575,5,230.0,0,0,0,0
7576,5,230.0,0,0,0,0
7577,5,230.0,0,0,0,0
7578,5,230.0,0,0,0,0
7579,5,230.0,0,0,0,0
7580,5,230.0,0,0,0,0
7581,5,230.0,0,0,0,0
7582,5,230.0,0,0,0,0
7583,5,230.0,0,0,0,0
7584,5,230.0,0,0,0,0
7585,5,230.0,0,0,0,0
7586,5,230.0,0,0,0,0
7587,5,230.0,0,0,0,0
7588,5,230.0,0,0,0,0
7589,5,230.0,0,0,0,0
7590,5,230.0,0,0,0,0
7591,5,230.0,0,0,0,0
7592,9,228.89,1,1,0,0
7593,5,230.0,0,0,0,0
7594,5,230.0,0,0,0,0
7595,5,230.0,0,0,0,0
7596,5,230.0,0,0,0,0
7597,5,230.0,0,0,0,0
7598,5,230.0,0,0,0,0
7599,5,230.0,0,0,0,0
7600,5,230.0,0,0,0,0
7601,5,230.0,0,0,0,0
7602,4,230.0,0,0,0,0
