Window_Num,Num_Packets,Avg_Length,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change
7562,3,207.0,0,0,0,0
7563,5,207.0,0,0,0,0
7564,5,207.0,0,0,0,0
7565,5,207.0,0,0,0,0
7566,5,207.0,0,0,0,0
7567,5,207.0,0,0,0,0
7568,5,207.0,0,0,0,0
7569,5,207.0,0,0,0,0
7570,5,207.0,0,0,0,0
7571,5,207.0,0,0,0,0
7572,5,207.0,0,0,0,0
7573,5,207.0,0,0,0,0
7574,4,207.0,0,0,0,0
7575,5,207.0,0,0,0,0
7576,5,207.0,0,0,0,0
7577,5,207.0,0,0,0,0
7578,5,207.0,0,0,0,0
7579,5,207.0,0,0,0,0
7580,5,207.0,0,0,0,0
7581,5,207.0,0,0,0,0
7582,5,207.0,0,0,0,0
7583,5,207.0,0,0,0,0
7584,5,207.0,0,0,0,0
7585,5,207.0,0,0,0,0
7586,5,207.0,0,0,0,0
7587,5,207.0,0,0,0,0
7588,5,207.0,0,0,0,0
7589,5,207.0,0,0,0,0
7590,5,207.0,0,0,0,0
7591,5,207.0,0,0,0,0
7592,5,207.0,0,0,0,0
7593,5,207.0,0,0,0,0
7594,5,207.0,0,0,0,0
7595,5,207.0,0,0,0,0
7596,5,207.0,0,0,0,0
7597,5,207.0,0,0,0,0
7598,5,207.0,0,0,0,0
7599,5,207.0,0,0,0,0
7600,5,207.0,0,0,0,0
7601,5,207.0,0,0,0,0
7602,4,207.0,0,0,0,0
