Window_Num,Num_Packets,Avg_Length,Eth_Src,Eth_Dst,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change
7562,6,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7563,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7564,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7565,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7566,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7567,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7568,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7569,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7570,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7571,14,221.07,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",1,1,0,1
7572,9,217.22,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7573,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7574,9,219.78,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7575,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7576,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7577,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7578,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7579,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7580,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7581,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7582,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7583,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7584,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7585,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7586,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7587,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7588,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7589,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7590,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7591,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7592,14,221.07,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",1,1,0,0
7593,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7594,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7595,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7596,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7597,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7598,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7599,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7600,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7601,10,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
7602,8,218.5,"['00:30:a7:15:ab:f9', '00:30:a7:38:43:96']","['01:0c:cd:01:00:12', '01:0c:cd:01:00:10']",0,0,0,0
