Window_Num,Num_Packets,Avg_DNP3_Length,IP_Port_Src,IP_Port_Dst,Function_Codes,IIN_Val_Change,IIN_Bits_Set,Data_Object_Change
9737,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9738,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9739,6,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
9740,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9741,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9742,6,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
9743,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9744,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9745,8,29.12,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]",0,[],0
9746,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9747,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9748,6,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
9749,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9750,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9751,6,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
9752,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9753,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9754,6,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0
9755,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9756,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9757,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0
9758,8,29.12,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]",0,[],0
